country,wine_type,wine_year,avg_rating
Espana,"Toro Red",2013,4.444927536231889
Espana,"Toro Red",2012,4.446218487394959
Espana,"Toro Red",2009,4.4425925925925975
Espana,"Toro Red",2011,4.453030303030308
Espana,"Toro Red",2015,4.444881889763776
Espana,"Toro Red",2010,4.4514285714285755
Espana,"Ribera Del Duero Red",2019,4.438020833333325
Espana,"Toro Red",2008,4.445283018867929
Espana,"Rioja Red",2019,4.447058823529416
Espana,"Ribera Del Duero Red",2016,4.445000000000011
Espana,"Ribera Del Duero Red",2018,4.431876138433517
Espana,"Ribera Del Duero Red",2017,4.42550607287449
Espana,"Ribera Del Duero Red",2009,4.550256410256404
Espana,"Montsant Red",2013,4.445283018867929
Espana,"Ribera Del Duero Red",2011,4.5129370629370555
Espana,"Ribera Del Duero Red",2010,4.568421052631572
Espana,"Ribera Del Duero Red",2012,4.519572953736649
Espana,"Ribera Del Duero Red",2007,4.561621621621616
Espana,"Toro Red",2017,4.439726027397263
Espana,Red,2017,4.413978494623645
Espana,"Ribera Del Duero Red",2014,4.431025641025643
Espana,"Montsant Red",2016,4.4425925925925975
Espana,"Montsant Red",2014,4.445283018867929
Espana,"Montsant Red",2017,4.437500000000005
Espana,Red,2019,4.438750000000002
Espana,Red,2007,4.441791044776124
Espana,"Toro Red",2016,4.438750000000004
Espana,"Toro Red",2018,4.444615384615389
Espana,Red,2014,4.423275862068967
Espana,Red,2015,4.433116883116871
Espana,"Rioja Red",2018,4.4196261682243
Espana,Red,2018,4.413636363636366
Espana,"Montsant Red",2015,4.444444444444449
Espana,"Rioja Red",2016,4.377198697068391
Espana,"Montsant Red",2018,4.440000000000005
Espana,"Rioja Red",2000,4.419811320754719
Espana,Tempranillo,2018,4.511764705882354
Espana,Tempranillo,1995,4.568750000000001
Espana,Tempranillo,2006,4.568750000000001
Espana,Tempranillo,2010,4.517857142857145
Espana,Tempranillo,2011,4.568750000000001
Espana,Tempranillo,2012,4.50714285714286
Espana,Tempranillo,2005,4.558823529411766
Espana,Tempranillo,2014,4.48947368421053
Espana,Tempranillo,2015,4.495833333333335
Espana,Tempranillo,2009,4.503703703703706
Espana,Tempranillo,2017,4.497560975609757
Espana,Tempranillo,2013,4.486666666666669
Espana,Tempranillo,2007,4.568750000000001
Espana,Tempranillo,1999,4.568750000000001
Espana,Tempranillo,2001,4.535000000000002
Espana,Tempranillo,2016,4.489130434782611
Espana,"Ribera Del Duero Red",1999,4.65666666666667
Espana,"Ribera Del Duero Red",1996,4.618978102189782
Espana,"Ribera Del Duero Red",1998,4.658208955223879
Espana,"Ribera Del Duero Red",1995,4.583018867924524
Espana,"Ribera Del Duero Red",1970,4.704878048780486
Espana,"Ribera Del Duero Red",1962,4.704878048780486
Espana,"Ribera Del Duero Red",1979,4.655555555555555
Espana,"Ribera Del Duero Red",2005,4.616788321167884
Espana,"Ribera Del Duero Red",2004,4.615972222222223
Espana,"Ribera Del Duero Red",2000,4.621481481481483
Espana,"Ribera Del Duero Red",2006,4.615107913669066
Espana,"Ribera Del Duero Red",2008,4.639999999999999
Espana,"Ribera Del Duero Red",2003,4.594166666666668
Espana,"Ribera Del Duero Red",2002,4.575510204081631
Espana,"Ribera Del Duero Red",1991,4.704878048780486
Espana,"Ribera Del Duero Red",1994,4.598901098901097
Espana,"Ribera Del Duero Red",1990,4.704878048780486
Espana,"Ribera Del Duero Red",1989,4.673684210526317
Espana,"Ribera Del Duero Red",1987,4.673684210526317
Espana,"Ribera Del Duero Red",1981,4.704878048780486
Espana,"Ribera Del Duero Red",1986,4.609999999999998
Espana,"Ribera Del Duero Red",1985,4.673684210526317
Espana,"Ribera Del Duero Red",1968,4.704878048780486
Espana,"Ribera Del Duero Red",1964,4.704878048780486
Espana,"Ribera Del Duero Red",1982,4.673684210526317
Espana,"Ribera Del Duero Red",1974,4.704878048780486
Espana,"Ribera Del Duero Red",1983,4.655555555555555
Espana,"Ribera Del Duero Red",1980,4.655555555555555
Espana,"Ribera Del Duero Red",1972,4.704878048780486
Espana,"Ribera Del Duero Red",1953,4.704878048780486
Espana,"Ribera Del Duero Red",1965,4.704878048780486
Espana,"Ribera Del Duero Red",1973,4.704878048780486
Espana,"Ribera Del Duero Red",1967,4.704878048780486
Espana,"Ribera Del Duero Red",1975,4.655555555555555
Espana,"Ribera Del Duero Red",1961,4.704878048780486
Espana,"Ribera Del Duero Red",1969,4.704878048780486
Espana,"Ribera Del Duero Red",2015,4.470996978851968
Espana,"Ribera Del Duero Red",2013,4.519696969696972
Espana,"Ribera Del Duero Red",2020,4.674074074074074
Espana,"Pedro Ximenez",1946,4.6
Espana,"Pedro Ximenez",1931,4.699999999999999
Espana,"Pedro Ximenez",1929,4.699999999999999
Espana,"Pedro Ximenez",1955,4.6
Espana,"Pedro Ximenez",1958,4.699999999999999
Espana,"Pedro Ximenez",1968,4.582352941176471
Espana,Red,2013,4.5307692307692315
Espana,Red,2016,4.406578947368424
Espana,Red,2008,4.5249999999999995
Espana,"Ribera Del Duero Red",2001,4.4628571428571435
Espana,"Pedro Ximenez",1994,4.469999999999999
Espana,"Pedro Ximenez",1986,4.514285714285714
Espana,"Pedro Ximenez",1973,4.512499999999999
Espana,"Pedro Ximenez",1999,4.514285714285714
Espana,"Priorat Red",2004,4.5078947368421085
Espana,"Priorat Red",2008,4.461616161616161
Espana,"Priorat Red",2017,4.418181818181799
Espana,"Priorat Red",2018,4.426530612244886
Espana,"Priorat Red",1998,4.52727272727273
Espana,"Priorat Red",2000,4.474576271186445
