wine,rating,wine_year
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
"Rioja Reserva",4.2,2011
Reserva,4.2,2015
Reserva,4.2,2015
Reserva,4.2,2015
Reserva,4.2,2015
Reserva,4.2,2015
Reserva,4.2,2015
"Gran Reserva",4.2,2007
"Gran Reserva",4.2,2007
"Gran Reserva",4.2,2007
Reserva,4.2,2016
Reserva,4.2,2016
Reserva,4.2,2016
Reserva,4.2,2016
Reserva,4.2,2016
Reserva,4.2,2016
Tinto,4.2,2009
"Ribera del Duero",4.2,1995
"Ribera del Duero",4.2,1995
"Ribera del Duero",4.2,1995
"Ribera del Duero",4.2,1995
"Ribera del Duero",4.2,1995
Tinto,4.2,2018
Tinto,4.2,2013
"Finca Dofi",4.2,2006
"Finca Dofi",4.2,2006
Toro,4.2,2017
Reserva,4.2,2018
Reserva,4.2,2018
Reserva,4.2,2018
Reserva,4.2,2018
Reserva,4.2,2018
Reserva,4.2,2018
"Ribera del Duero",4.2,2018
"Ribera del Duero",4.2,2018
"Ribera del Duero",4.2,2018
"Ribera del Duero",4.2,2018
"Ribera del Duero",4.2,2018
Tinto,4.2,2011
Tinto,4.2,2010
Tinto,4.2,2012
