wine,num_ratings,avg_rating
Cenit,1,4.5
"Finca La Herradura",1,4.3
"Cerro del Lobo Syrah",1,4.3
"Vina Centenaria Mencia",1,4.3
"Mas de la Rosa",1,4.4
"Verdejo Fermentado en Barrica",1,4.3
"Pago de Otazu Chardonnay Con Crianza",1,4.3
"Sio Negre",1,4.3
Sketch,1,4.3
Juegabolos,1,4.3
