winery,wine_type,total_wines
"Cal Pla","Priorat Red",2
Allende,"Rioja White",2
"Castillo Perelada",Syrah,2
"Ukan Winery","Rioja Red",2
"Huerta de Albala",Syrah,2
"Huerta de Albala",Red,2
"Castell d'Encus",Red,2
"Francisco Barona","Ribera Del Duero Red",2
"Pazo Barrantes",Albarino,2
"Abadia Retuerta",Syrah,2
"Cruz de Alba","Ribera Del Duero Red",2
"Jesus Madrazo","Rioja Red",2
Trus,"Ribera Del Duero Red",2
Mestres,Cava,2
Chivite,Chardonnay,2
"Bodega Ribas",Red,2
Cervoles,Red,2
"R. Lopez de Heredia","Rioja White",2
Penafiel,"Ribera Del Duero Red",2
"Sara Perez y Rene Barbier","Priorat Red",2
"Dehesa del Carrizal",Red,2
Beronia,"Rioja Red",2
"Vinicola Real","Rioja White",2
"El Regajal",Red,2
"Abel Mendoza Monge","Rioja White",2
Anayon,Red,2
Atalaya,Red,2
Tridente,Red,2
Altanza,"Rioja Red",2
"Marco Abella","Priorat Red",2
Orben,"Rioja Red",2
Astrales,"Ribera Del Duero Red",2
"Vinyes Domenech","Montsant Red",2
"Pago de Vallegarcia",Red,2
"Pago de Vallegarcia",Syrah,2
"Eulogio Pomares",Albarino,2
"Sangenis I Vaque","Priorat Red",2
VALENCISO,"Rioja Red",2
"Chozas Carrascal",Red,2
"Alonso del Yerro","Ribera Del Duero Red",2
Ontanon,"Rioja Red",2
"Bodega Elias Mora","Toro Red",2
Avgvstvs,Red,2
Leda,Tempranillo,2
Llopart,Cava,2
Ostatu,"Rioja Red",2
"Albet i Noya",Red,2
"Do Ferreiro (Bodegas Gerardo Mendez)",Albarino,2
"Martin Codax",Albarino,2
"Vinedos Hermanos Hernaiz","Rioja Red",2
"Venta Las Vacas","Ribera Del Duero Red",2
"Pago Calzadilla",Red,2
Vivanco,"Rioja Red",2
"Lopez Cristobal","Ribera Del Duero Red",2
Aster,"Ribera Del Duero Red",2
"Marques de Tomares",Red,2
Taron,"Rioja Red",2
"Venus la Universal","Montsant Red",2
Pradorey,"Ribera Del Duero Red",2
"Telmo Rodriguez","Ribera Del Duero Red",2
"Celler de Capcanes","Montsant Red",2
Habla,Red,2
"Rodriguez de Vera",Red,2
Valtravieso,"Ribera Del Duero Red",2
"Real de Asua","Rioja Red",2
"Altos de Rioja","Rioja Red",2
"Finca Rio Negro",Red,2
"Cartoixa de Montsalvat","Priorat Red",2
"Atlan & Artisan",Red,2
"Bodegas Reyes","Ribera Del Duero Red",2
"Bodegas Gama",Grenache,2
"Telmo Rodriguez","Rioja Red",2
Zifar,"Ribera Del Duero Red",2
"El Coto","Rioja Red",2
"Hispano Suizas",Red,2
