wine,num_ratings
Cenit,1
"Finca La Herradura",1
"Cerro del Lobo Syrah",1
"Vina Centenaria Mencia",1
"Mas de la Rosa",1
"Verdejo Fermentado en Barrica",1
"Pago de Otazu Chardonnay Con Crianza",1
"Sio Negre",1
Sketch,1
Juegabolos,1
