wine,rating,price,avg_rating
"La Faraona Bierzo (Corullon)",4.6,3119.08,4.6
Unico,4.6,2884.04,4.599999999999996
Termanthia,4.7,2814.16,4.7
"L'Ermita Velles Vinyes Priorat",4.6,2750,4.599999999999997
Unico,4.7,2087.25,4.6999999999999975
Pingus,4.6,1785.96,4.6
Pingus,4.6,1746.94,4.6
Pingus,4.7,1715.18,4.700000000000001
"L'Ermita Velles Vinyes Priorat",4.6,1660,4.599999999999999
Pingus,4.6,1638.95,4.6
