wine_name,year,rating,num_reviews,price,wine_id
Reliquia Palo Cortado Sherry,N.V.,4.7,58,380.0,134
Gran Reserva 890,1982,4.7,57,292.09,135
Anada Palo Cortado 1987,1987,4.7,53,400.85,136
Daphne Glorian Red,2007,4.7,51,202.01,137
Don PX Pedro Ximenez,1955,4.7,50,250.0,138
La Nieta,2019,4.7,49,88.9,139
El Regollar,2016,4.7,49,77.9,140
Don PX Convento Seleccion,1958,4.7,47,191.61,141
Alabaster,2018,4.7,45,123.89,142
Abuelo Diego Palo Cortado,N.V.,4.7,42,114.28,143
La Bota 78 de Oloroso,N.V.,4.7,41,95.57,144
Touran,2018,4.7,41,93.95,145
Luthier Gran Reserva,2012,4.7,40,248.0,146
Vina El Pison,1995,4.7,39,397.0,147
Sorte O Soro Val do Bibei,2019,4.7,37,194.86,148
Reserva Particular de Recaredo Brut Nature,2011,4.7,35,65.05,149
Terreus Paraje de Cueva Baja,2019,4.7,33,86.9,150
Pesus Ribera del Duero,2004,4.7,32,472.5,151
Usted,2010,4.7,31,379.0,152
Gran Reserva,2001,4.7,31,185.15,153
Regina Vides Ribera del Duero,1998,4.7,30,94.2,154
La Loma,2018,4.7,29,46.0,155
L'Ermita Velles Vinyes Priorat,2016,4.7,28,919.6,156
Recondita Armonia Monastrell Dulce,1987,4.7,27,81.9,157
Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,680.0,158
Valbuena 5o,2011,4.6,6803,218.0,159
Valbuena 5o,2012,4.6,5938,177.0,160
Valbuena 5o,2008,4.6,5545,187.3,161
Valbuena 5o,2007,4.6,5116,195.59,162
Valbuena 5o,2013,4.6,4747,135.0,163
Valbuena 5o,2009,4.6,4685,225.2,164
Ribera del Duero,2016,4.6,4516,79.8,165
PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,116.187943627787,166
PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,89.3,167
Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,438.9,168
Ribera del Duero,2017,4.6,2208,79.9,169
Valbuena 5o,2004,4.6,1608,249.0,170
Flor de Pingus,2018,4.6,1363,129.95,171
PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,76.95,172
Valbuena 5o,2000,4.6,1015,252.0,173
Valbuena 5o,2002,4.6,936,232.0,174
Termanthia,2012,4.6,840,214.0,175
Termanthia,2011,4.6,790,205.0,176
Pago De Valtarrena,2015,4.6,700,49.95,177
Malleolus de Sanchomartin,2011,4.6,693,125.0,178
Valbuena 5o,1999,4.6,595,276.8,179
Malleolus de Valderramiro,2015,4.6,516,75.0,180
Pingus,2010,4.6,410,1359.75,181
Cuesta de Las Liebres,2010,4.6,405,81.5,182
Pingus,2012,4.6,400,890.0,183
El Titan del Bendito,2015,4.6,388,43.5,184
Malleolus de Sanchomartin,2015,4.6,369,99.0,185
Pingus,2013,4.6,323,1198.72,186
Terreus Paraje de Cueva Baja,2015,4.6,313,94.95,187
Terreus Paraje de Cueva Baja,2016,4.6,304,89.0,188
Pingus,2005,4.6,293,1785.96,189
La Nieta,2017,4.6,286,108.21,190
Vina El Pison,2006,4.6,274,391.5,191
Pingus,1998,4.6,244,1350.0,192
Cirsion Rioja,2007,4.6,242,145.0,193
Cirsion Rioja,2012,4.6,231,173.38,194
Contador Rioja,2011,4.6,225,220.0,195
Dalmau Rioja,2017,4.6,222,85.7,196
Unico,1965,4.6,218,2884.04,197
Finca el Bosque,2015,4.6,214,79.9,198
Pago de Santa Cruz,2018,4.6,211,68.7,199
Pingus,2003,4.6,205,1638.95,200
Clos Fonta Priorat,2004,4.6,202,150.0,201
Pago De Valtarrena,2016,4.6,200,48.95,202
Parcela El Picon Tinto,2014,4.6,197,109.41,203
Malleolus de Sanchomartin,2014,4.6,186,119.0,204
Valbuena 5o,1992,4.6,176,195.0,205
Pingus,2014,4.6,172,1595.0,206
Vina El Pison,2010,4.6,169,519.55,207
Parcela El Picon Tinto,2012,4.6,165,89.0,208
Vina El Pison,2011,4.6,165,511.9,209
L'Ermita Velles Vinyes Priorat,1999,4.6,164,980.0,210
Cuvee N Vinas Viejas,2015,4.6,160,73.0,211
Vina El Pison,2012,4.6,159,280.0,212
Unico,1973,4.6,157,932.3,213
Contador Rioja,2014,4.6,157,251.99,214
Cartago Paraje de Pozo,2014,4.6,153,61.69,215
L'Ermita Velles Vinyes Priorat,1996,4.6,150,1372.14,216
Termanthia,2014,4.6,147,210.5,217
Valbuena 5o,1985,4.6,146,285.0,218
Ribera del Duero Prestigio Pago de las Solanas,2001,4.6,145,245.75,219
Valbuena 5o,1989,4.6,143,228.57,220
Contador Rioja,2015,4.6,143,319.9,221
Vina El Pison,2005,4.6,142,325.0,222
Nit de Nin Mas d'en Cacador,2011,4.6,139,345.0,223
VS,2018,4.6,136,58.9,224
Maria Remirez de Ganuza,2005,4.6,136,159.0,225
Blecua Somontano,2013,4.6,135,69.9,226
Unico Reserva Especial Edicion,1989,4.6,133,895.4,227
Alabaster,2017,4.6,131,147.85,228
Terreus Paraje de Cueva Baja,2018,4.6,128,88.05,229
L'Ermita Velles Vinyes Priorat,1997,4.6,127,1080.0,230
Frank Gehry Selection,2001,4.6,124,301.0,231
Vina El Pison,2014,4.6,124,275.0,232
Unico,1967,4.6,123,1106.24,233
Amaya Arzuaga (Coleccion),2016,4.6,123,64.9,234
Pingus,2000,4.6,122,1503.0,235
L'Ermita Velles Vinyes Priorat,1995,4.6,122,1372.14,236
Vina El Pison,2015,4.6,122,241.55,237
La Creu Alta,2013,4.6,116,89.17,238
Unico,1975,4.6,115,769.9,239
Tinto,2019,4.6,114,67.94,240
5o Ano Ribera del Duero Tinto,2016,4.6,113,44.0,241
Vina El Pison,2009,4.6,113,445.0,242
Planots Priorat,2010,4.6,112,87.02,243
Unico Reserva Especial Edicion,2009,4.6,111,747.17,244
El Titan del Bendito,2018,4.6,111,49.95,245
Capitel,2018,4.6,107,50.51,246
Gran Arzuaga Ribera del Duero,2004,4.6,105,157.4,247
Aquilon Garnacha,2015,4.6,105,120.9,248
Pingus,1996,4.6,102,1746.94,249
Horcajo,2015,4.6,100,75.3,250
Pago De Valtarrena,2018,4.6,99,47.5,251
Unico,2012,4.6,98,359.9,252
Tinto,2019,4.6,97,43.5,253
Aurus,2005,4.6,95,136.0,254
Dolc de L'Obac,2006,4.6,94,117.239420060872,255
Parcela El Picon Tinto,2011,4.6,93,135.0,256
Trasnocho,2013,4.6,91,82.5,257
Cirsion Rioja,2017,4.6,90,149.9,258
Tinto,2008,4.6,87,1260.0,259
Doroteo Edicion Especial 25 Aniversario,2015,4.6,86,59.0,260
Tierra Alta de 2 Racimos Gran Reserva,2011,4.6,85,82.5,261
Castillo Ygay Gran Reserva Especial Tinto,2011,4.6,85,195.0,262
Valbuena 5o,1980,4.6,84,195.0,263
Reserva Especial Ribera del Duero,2016,4.6,83,54.5,264
Reserva Especial,2015,4.6,80,79.1,265
Gran Buig Priorat,2004,4.6,79,272.0,266
Finca Garbet,2014,4.6,75,99.0,267
Solera India Oloroso Rare Sherry,N.V.,4.6,74,189.99,268
Clon De La Familia,2011,4.6,72,317.63,269
Amancio,2007,4.6,70,399.6,270
Gines Liebana Pedro Ximenez,1910,4.6,70,701.05,271
Reserva Particular de Recaredo Brut Nature,2008,4.6,69,74.9,272
Priorat,2008,4.6,66,654.31,273
Valbuena 5o,1983,4.6,66,247.75,274
Don PX Seleccion,1965,4.6,65,144.99,275
L'Ermita Velles Vinyes Priorat,2001,4.6,65,945.0,276
Reserva,2017,4.6,64,50.0,277
Finca Las Naves,2016,4.6,63,126.64,278
AAA,2008,4.6,63,162.38,279
Vina del Olivo,2001,4.6,60,81.0,280
L'Ermita Velles Vinyes Priorat,2010,4.6,60,2750.0,281
Dalmau Rioja,2001,4.6,59,121.0,282
Les Aubaguetes Priorat,2016,4.6,59,355.95,283
Cava Enoteca Finca La Plana Brut Nature,2001,4.6,58,164.66,284
Aquilon Garnacha,2016,4.6,58,120.9,285
Gran Reserva Penas Aladas,2014,4.6,58,218.9,286
Pena Lobera,2016,4.6,57,65.95,287
La Creu Alta,2014,4.6,53,86.0,288
Adega do Moucho Treixadura,2017,4.6,53,34.5,289
Son Negre,2007,4.6,51,282.65,290
1902 Centenary Carignan Priorat,2017,4.6,51,259.9,291
Unico,1961,4.6,50,1099.28,292
Casa Cisca Monastrell,2016,4.6,49,35.0,293
Moncerbal Bierzo (Corullon),2016,4.6,48,269.95,294
Capricho,2014,4.6,47,27.2693427,295
Pingus,2018,4.6,47,1250.0,296
Cerrado del Castillo Rioja,2016,4.6,47,52.95,297
Kalamity Rioja,2018,4.6,46,114.95,298
Conde de Aldama Amontillado,N.V.,4.6,46,89.9,299
Valbuena 5o,1979,4.6,46,195.0,300
Respeto,2015,4.6,45,29.35,301
El Garnacho Viejo de la Familia Acha,2014,4.6,45,79.9,302
Ribera del Duero Prestigio,2016,4.6,45,53.95,303
Finca Misenhora Edicion Limitada,2018,4.6,44,26.2,304
1902 Centenary Carignan Priorat,2016,4.6,43,270.44,305
La Poza de Ballesteros,2009,4.6,42,187.5,306
Reserva Rioja (Finca Ygay),1954,4.6,42,210.0,307
Reserva Especial,2016,4.6,41,85.63,308
Vina El Pison,2017,4.6,41,304.54,309
Idus,2020,4.6,41,34.3,310
Priorat,2003,4.6,41,993.28,311
Amancio,2017,4.6,40,85.95,312
Rosado de Larrainzar,2020,4.6,39,12.0,313
Clon De La Familia,2015,4.6,39,249.9,314
Unico Reserva Especial Edicion,1982,4.6,39,1238.43,315
Finca el Bosque,2002,4.6,38,128.0,316
Valdafoz Bierzo (Corullon),2011,4.6,38,135.5,317
Tinto,2019,4.6,38,40.5,318
Tintilla de Rota,2017,4.6,37,43.1,319
La Creu Alta,2017,4.6,36,85.0,320
Rioja Gran Reserva,1986,4.6,35,123.0,321
Valdegatiles Ribera del Duero,2012,4.6,34,106.35,322
Don PX Seleccion,1962,4.6,34,207.0,323
Respublica Verdejo,2016,4.6,33,75.95,324
Gran Reserva Penas Aladas,2015,4.6,33,185.3,325
Les Tosses,2016,4.6,33,205.95,326
Torremilanos Coleccion Ribera del Duero,2016,4.6,32,40.45,327
El Carretil,2017,4.6,32,176.89,328
Taberner No. 1,2013,4.6,32,79.9,329
Vina Motulleri,2011,4.6,30,79.0,330
Saktih,2013,4.6,30,195.27,331
Cuvee Palomar,2017,4.6,30,58.9,332
L'Ermita Velles Vinyes Priorat,2014,4.6,30,1660.0,333
Valdegatiles Ribera del Duero,2013,4.6,29,111.9,334
Respeto,2017,4.6,29,29.95,335
Uno Tinto,2010,4.6,28,129.9,336
Macan,2017,4.6,28,69.95,337
1903 Centenary Grenache,2016,4.6,28,299.0,338
La Faraona Bierzo (Corullon),2010,4.6,28,3119.08,339
Galiano Seleccion Especial,2013,4.6,28,99.95,340
Molino Real,2016,4.6,28,41.69,341
Son Negre,2004,4.6,27,374.35,342
5o Ano Ribera del Duero Tinto,2017,4.6,27,46.45,343
L'Ermita Velles Vinyes Priorat,2011,4.6,27,2750.0,344
Etern Vinyes Molt Velles,2016,4.6,26,42.5,345
40 Aniversario Gran Reserva,2012,4.6,25,95.0,346
Solera BC-200,N.V.,4.6,25,197.3,347
Corpinnat Enoteca Reserva Particular de Recaredo,2004,4.6,25,130.0,348
Don PX Pedro Ximenez,1968,4.6,25,181.5,349
Tinto,2016,4.5,7529,29.8,350
Ribera del Duero,2013,4.5,7435,73.0,351
Ribera del Duero,2014,4.5,7237,56.27,352
Toro,2014,4.5,5863,69.0,353
Tinto,2018,4.5,5372,45.0,354
Ribera del Duero,2015,4.5,5365,75.0,355
Toro,2015,4.5,4979,69.8,356
Tinto,2017,4.5,4935,121.936825872994,357
PS (Pagos Seleccionados) Ribera del Duero,2016,4.5,4411,78.65,358
Castillo Ygay Gran Reserva Especial Tinto,2005,4.5,3521,400.0,359
Gran Reserva 890,2005,4.5,3443,125.0,360
Castillo Ygay Gran Reserva Especial Tinto,2009,4.5,3148,229.0,361
Toro,2016,4.5,3118,40.41,362
Flor de Pingus,2016,4.5,2887,101.94,363
PS (Pagos Seleccionados) Ribera del Duero,2015,4.5,2858,172.5,364
Clio,2015,4.5,2712,33.2,365
Flor de Pingus,2014,4.5,2710,125.0,366
Flor de Pingus,2010,4.5,2551,125.0,367
Flor de Pingus,2015,4.5,2530,125.0,368
Clio,2016,4.5,2228,31.75,369
Clio,2017,4.5,2220,39.5,370
PS (Pagos Seleccionados) Ribera del Duero,2011,4.5,2207,64.0,371
Tinto,2019,4.5,2144,33.8,372
Macan,2014,4.5,1910,58.95,373
Tinto,2018,4.5,1864,33.25,374
Clio,2018,4.5,1520,61.8491765262698,375
Garnacha,2017,4.5,1503,44.27,376
Parcela El Nogal Tinto,2015,4.5,1393,45.9,377
Valbuena 5o,2003,4.5,1346,239.2,378
Macan,2015,4.5,1345,68.9,379
Ribera del Duero,2003,4.5,1236,164.0,380
Belondrade y Lurton,2018,4.5,1192,32.85,381
Parcela El Nogal Tinto,2014,4.5,1163,40.95,382
Reserva,2014,4.5,1148,69.5803235920536,383
Flor de Pingus,2017,4.5,1094,110.0,384
Rioja Reserva,2012,4.5,1089,49.75,385
Prado Enea Gran Reserva,2014,4.5,1014,51.0,386
Rioja Reserva,2011,4.5,1012,59.9,387
Gran Reserva 890,2004,4.5,990,290.7,388
Belondrade y Lurton,2019,4.5,961,37.7,389
Priorat,2015,4.5,955,146.95,390
Pedro Ximenez Tradicion 20 Years Old Vos,N.V.,4.5,854,68.9,391
Torre Muga,2016,4.5,838,70.5,392
Macan,2016,4.5,813,64.0,393
Termanthia,2010,4.5,729,168.0,394
Malleolus de Valderramiro,2011,4.5,719,173.95,395
Priorat,2017,4.5,666,65.0,396
Dalmau Rioja,2014,4.5,642,67.6,397
Reserva,2015,4.5,629,53.95,398
Parcela El Nogal Tinto,2016,4.5,595,42.95,399
Gran Reserva 890,1995,4.5,574,127.23,400
Clio,2019,4.5,550,47.3,401
Aro,2015,4.5,529,169.4,402
Gran Reserva,2007,4.5,529,121.838963251908,403
San Vicente Rioja,2017,4.5,505,34.8,404
Ribera del Duero TSM,2017,4.5,503,55.35,405
Pago de Santa Cruz,2016,4.5,501,75.95,406
Ribera Del Duero Reserva Premium 6 Anos,2011,4.5,500,48.7,407
Trasnocho,2012,4.5,499,118.89,408
Clos de L'Obac,2005,4.5,493,92.8716274104906,409
Valbuena 5o,1996,4.5,488,290.4,410
Reserva Ribera del Duero,2017,4.5,477,31.8,411
Gran Reserva 890,2010,4.5,469,149.5,412
Ribera Del Duero,2018,4.5,462,35.85,413
Pago de Santa Cruz,2015,4.5,420,82.95,414
Ribera Del Duero Reserva Premium 6 Anos,2012,4.5,406,59.0,415
Bruto,2018,4.5,384,37.7,416
Culmen Reserva Rioja,2015,4.5,365,42.75,417
Cirsion Rioja,2016,4.5,353,175.57,418
Priorat,2018,4.5,336,61.64,419
Bruto,2017,4.5,322,30.7,420
VS,2017,4.5,318,56.5,421
Termanthia,2013,4.5,316,207.11,422
Trasnocho,2011,4.5,301,110.5,423
Reserva,2016,4.5,297,55.95,424
Vina Tondonia Gran Reserva,1995,4.5,292,170.0,425
Petit Verdot,2015,4.5,286,107.9,426
5o Ano Ribera del Duero Tinto,2011,4.5,264,69.9,427
El Titan del Bendito,2017,4.5,261,49.5,428
Petit Verdot,2014,4.5,249,176.98,429
Amancio,2012,4.5,246,90.0,430
Clos Martinet,2014,4.5,230,65.0,431
Trasnocho,2006,4.5,229,95.0,432
Tinto,2009,4.5,229,39.0,433
Ribera del Duero,1995,4.5,226,193.0,434
Aro,2016,4.5,222,174.91,435
Valbuena 5o,1987,4.5,221,312.0,436
Tinto,2018,4.5,218,52.9,437
Pago de Santa Cruz,2017,4.5,217,40.9,438
Tinto,2013,4.5,214,157.95,439
Millenium Gran Reserva,2015,4.5,213,77.5,440
Regina Vides Ribera del Duero,2011,4.5,213,116.0,441
Finca Dofi,2006,4.5,207,75.0,442
Gran Reserva Ribera del Duero,2015,4.5,205,80.98,443
Vina del Olivo,2017,4.5,203,64.5,444
Flor de Pingus,2019,4.5,201,118.5,445
Seleccio Especial Vinyes Velles,2015,4.5,197,64.0,446
Priorat,2003,4.5,196,95.0,447
Calvario Rioja,2009,4.5,194,125.97,448
Ribera del Duero Una Cepa I,2017,4.5,194,26.5,449
Ribera del Duero Prestigio,2015,4.5,190,54.01,450
Regina Vides Ribera del Duero,2014,4.5,189,104.9,451
Grans Muralles,2015,4.5,189,170.5,452
Pesus Ribera del Duero,2014,4.5,189,315.0,453
Gran Vino Albarino,2019,4.5,188,34.9,454
Reserva Especial Ribera del Duero,2015,4.5,187,51.5,455
Cuatro Palmas Amontillado,N.V.,4.5,186,112.26,456
Pago Garduna,2016,4.5,186,71.85,457
Belondrade y Lurton,2020,4.5,184,38.9,458
Toro,2017,4.5,178,54.09,459
La Cueva del Contador Rioja,2017,4.5,174,67.9,460
Finca el Bosque,2016,4.5,173,80.95,461
Solera 1830 Pedro Ximenez,N.V.,4.5,171,114.5,462
Que Bonito Cacareaba Blanco,2018,4.5,170,50.34,463
5o Ano Ribera del Duero Tinto,2014,4.5,165,57.96,464
Baron de Chirel Rioja Reserva,2016,4.5,163,73.62,465
Capitel,2016,4.5,162,144.78,466
Turo d'en Mota,2005,4.5,161,90.0,467
Amancio,2015,4.5,156,89.95,468
Regina Vides Ribera del Duero,2015,4.5,154,92.8,469
Emeritvs (Emeritus),2013,4.5,147,48.9,470
Regina Vides Ribera del Duero,2016,4.5,144,70.55,471
Turo d'en Mota,2006,4.5,142,110.0,472
Cami Pesseroles,2009,4.5,141,139.3,473
Reserva,2018,4.5,141,59.8,474
Amancio,2014,4.5,140,75.0,475
Finca Los Hoyales Ribera del Duero,2015,4.5,140,57.0,476
Vina El Pison,2013,4.5,137,253.47,477
Blanco,2017,4.5,134,49.95,478
Pesus Ribera del Duero,2015,4.5,134,298.0,479
Pago Garduna,2009,4.5,132,73.6,480
La Basseta,2013,4.5,132,58.0,481
Territorio Luthier Reserva,2016,4.5,128,54.0,482
Ribera del Duero,2018,4.5,128,78.38,483
Valbuena 5o,1988,4.5,126,228.63,484
Son Negre,2011,4.5,121,228.9,485
Clos de L'Obac,2010,4.5,121,81.3,486
Vinas Viejas de Soria Ribera Del Duero,2018,4.5,117,165.0,487
Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,4.5,115,54.9,488
As Sortes Val do Bibei Godello,2020,4.5,115,55.0,489
Cami Pesseroles,2010,4.5,113,131.85,490
Parcela El Picon Tinto,2015,4.5,113,148.39,491
Tinto,2011,4.5,110,39.0,492
Seleccion Rioja,2015,4.5,107,67.1,493
Millenium Reserva,1996,4.5,106,199.45,494
Acediano,2015,4.5,104,52.0,495
Gaudium,2016,4.5,104,34.9,496
Vinas Viejas de Soria Ribera Del Duero,2017,4.5,103,75.81,497
Finca el Bosque,2017,4.5,103,84.36,498
Pico de Luyas,2016,4.5,103,47.95,499
Grandes Anadas Rioja,2001,4.5,103,391.65,500
Bruto,2019,4.5,104,32.5,501
Aro,2004,4.5,102,198.0,502
Mas Via Gran Reserva Brut,2004,4.5,102,40.33,503
Les Aubaguetes Priorat,2015,4.5,99,302.5,504
La Mula de la Quietud,2016,4.5,99,62.0,505
Navarra Coleccion 125 Blanco,2018,4.5,97,49.1,506
Dalmau Rioja,2015,4.5,97,75.0,507
Chardonnay Uno,2011,4.5,96,200.13,508
Don PX Vieja Cosecha,1973,4.5,95,113.0,509
Ribas de Cabrera,2018,4.5,94,68.4059721390231,510
Cenit,2012,4.5,92,37.5,511
El Carretil,2012,4.5,88,165.0,512
Quinon de Valmira,2016,4.5,88,415.0,513
Acediano,2014,4.5,87,74.0,514
Mas del Serral,2007,4.5,82,192.16,515
Estrats,2009,4.5,81,59.82,516
Son Negre,2016,4.5,81,164.9,517
Fino Imperial Amontillado 30 Anos,N.V.,4.5,81,94.9,518
Coliseo Amontillado VORS,N.V.,4.5,81,199.0,519
Finca el Bosque,2018,4.5,81,85.95,520
Grans Muralles,2000,4.5,81,125.05,521
Malleolus de Valderramiro,2018,4.5,82,85.55,522
Contador Rioja,2016,4.5,80,317.75,523
Tinto,2010,4.5,79,35.0,524
Vina Tondonia Gran Reserva Blanco,1981,4.5,78,274.95,525
Cami Pesseroles,2014,4.5,78,82.55,526
Priorat,2019,4.5,76,63.9,527
8000,2017,4.5,75,29.95,528
Pesus Ribera del Duero,2009,4.5,75,312.6,529
La Basseta,2017,4.5,75,58.95,530
La Poza de Ballesteros,2010,4.5,74,99.35,531
Mironia Black Edition Tempranillo,2015,4.5,73,49.5,532
La Creu Alta,2015,4.5,73,234.98,533
Miserere,2010,4.5,74,78.5,534
Prado Enea Gran Reserva,2015,4.5,72,56.95,535
Alma Tobia Rioja,2015,4.5,72,40.0,536
Tm,2016,4.5,71,100.0,537
Doix,2017,4.5,71,79.9,538
Tinto,2012,4.5,70,63.5,539
La Loma,2017,4.5,69,38.9,540
Nebro Ribera del Duero,2011,4.5,69,154.5,541
Priorat,2012,4.5,69,374.66,542
El Carretil,2015,4.5,66,143.51,543
