wine_id,acidity_id
1,1.0
2,2.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
9,1.0
3,1.0
9,1.0
12,1.0
9,1.0
3,1.0
15,15.0
16,1.0
3,1.0
9,1.0
19,1.0
9,1.0
21,1.0
9,1.0
23,1.0
15,15.0
9,1.0
3,1.0
27,15.0
28,1.0
9,1.0
9,1.0
31,1.0
9,1.0
15,15.0
34,1.0
35,1.0
1,1.0
23,1.0
1,1.0
28,1.0
40,1.0
1,1.0
28,1.0
1,1.0
44,1.0
45,1.0
28,1.0
9,1.0
48,1.0
48,1.0
48,1.0
3,1.0
3,1.0
3,1.0
3,1.0
48,1.0
3,1.0
3,1.0
3,1.0
48,1.0
48,1.0
3,1.0
3,1.0
3,1.0
9,1.0
3,1.0
16,1.0
3,1.0
3,1.0
9,1.0
12,1.0
19,1.0
19,1.0
9,1.0
74,1.0
19,1.0
19,1.0
77,1.0
3,1.0
9,1.0
80,1.0
23,1.0
3,1.0
83,1.0
23,1.0
23,1.0
19,1.0
87,1.0
88,1.0
3,1.0
90,2.0
91,1.0
92,1.0
3,1.0
77,1.0
3,1.0
3,1.0
23,1.0
9,1.0
23,1.0
3,1.0
28,1.0
102,1.0
9,1.0
104,1.0
48,1.0
28,1.0
107,1.0
9,1.0
109,1.0
110,1.0
3,1.0
15,15.0
3,1.0
91,1.0
3,1.0
107,1.0
1,1.0
118,1.0
9,1.0
120,1.0
121,
3,1.0
123,1.0
28,1.0
19,1.0
120,1.0
9,1.0
28,1.0
129,1.0
130,1.0
9,1.0
132,1.0
104,1.0
134,1.0
45,1.0
136,1.0
137,1.0
27,15.0
77,1.0
140,1.0
15,15.0
87,1.0
143,15.0
144,1.0
145,1.0
146,1.0
2,2.0
148,
149,1.0
90,2.0
35,1.0
152,1.0
153,1.0
154,1.0
155,1.0
28,1.0
157,
158,1.0
48,1.0
48,1.0
48,1.0
48,1.0
48,1.0
48,1.0
165,1.0
166,1.0
166,1.0
158,1.0
165,1.0
48,1.0
171,1.0
166,1.0
48,1.0
48,1.0
107,1.0
107,1.0
177,1.0
83,1.0
48,1.0
80,1.0
23,1.0
16,1.0
23,1.0
184,1.0
83,1.0
23,1.0
90,2.0
90,2.0
23,1.0
77,1.0
2,2.0
23,1.0
123,1.0
123,1.0
91,1.0
196,1.0
3,1.0
198,1.0
199,1.0
23,1.0
201,1.0
177,1.0
104,1.0
83,1.0
48,1.0
23,1.0
2,2.0
104,1.0
2,2.0
28,1.0
211,1.0
2,2.0
3,1.0
91,1.0
102,1.0
28,1.0
107,1.0
48,1.0
219,1.0
48,1.0
91,1.0
2,2.0
223,1.0
224,2.0
92,1.0
226,1.0
9,1.0
87,1.0
90,2.0
28,1.0
231,2.0
2,2.0
3,1.0
234,1.0
23,1.0
28,1.0
2,2.0
238,1.0
3,1.0
1,1.0
241,1.0
2,2.0
243,1.0
9,1.0
184,1.0
246,1.0
247,1.0
110,1.0
23,1.0
250,1.0
177,1.0
3,1.0
1,1.0
254,1.0
255,
104,1.0
257,1.0
123,1.0
1,1.0
260,1.0
261,1.0
158,1.0
48,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
109,1.0
270,1.0
271,15.0
149,1.0
132,1.0
48,1.0
275,15.0
28,1.0
277,1.0
278,1.0
279,1.0
280,1.0
28,1.0
196,1.0
283,1.0
284,1.0
110,1.0
286,1.0
287,1.0
238,1.0
289,
290,1.0
120,1.0
3,1.0
293,1.0
294,1.0
295,1.0
23,1.0
297,1.0
298,1.0
299,1.0
48,1.0
301,1.0
302,1.0
303,1.0
304,
120,1.0
306,2.0
307,1.0
265,1.0
2,2.0
310,1.0
132,1.0
270,1.0
313,
109,1.0
9,1.0
198,1.0
317,1.0
1,1.0
121,
238,1.0
321,1.0
322,1.0
275,15.0
324,1.0
286,1.0
326,1.0
327,1.0
328,2.0
329,1.0
330,1.0
331,1.0
332,1.0
28,1.0
322,1.0
301,1.0
336,1.0
337,1.0
338,1.0
44,1.0
340,1.0
341,
290,1.0
241,1.0
28,1.0
345,1.0
346,1.0
347,1.0
348,1.0
27,15.0
1,1.0
165,1.0
165,1.0
353,1.0
1,1.0
165,1.0
353,1.0
1,1.0
166,1.0
158,1.0
45,1.0
158,1.0
353,1.0
171,1.0
166,1.0
365,1.0
171,1.0
171,1.0
171,1.0
365,1.0
365,1.0
166,1.0
1,1.0
337,1.0
1,1.0
365,1.0
376,1.0
377,1.0
48,1.0
337,1.0
165,1.0
381,1.0
377,1.0
277,1.0
171,1.0
385,1.0
386,1.0
385,1.0
45,1.0
381,1.0
132,1.0
391,15.0
392,1.0
337,1.0
107,1.0
80,1.0
132,1.0
196,1.0
277,1.0
377,1.0
45,1.0
365,1.0
402,1.0
153,1.0
404,1.0
405,1.0
199,1.0
407,1.0
257,1.0
409,1.0
48,1.0
411,1.0
45,1.0
413,1.0
199,1.0
407,1.0
416,1.0
417,1.0
123,1.0
132,1.0
416,1.0
224,2.0
107,1.0
257,1.0
277,1.0
425,1.0
426,1.0
241,1.0
184,1.0
426,1.0
270,1.0
431,1.0
257,1.0
1,1.0
165,1.0
402,1.0
48,1.0
1,1.0
199,1.0
1,1.0
440,1.0
154,1.0
442,1.0
443,1.0
280,1.0
171,1.0
446,1.0
132,1.0
448,1.0
449,1.0
303,1.0
154,1.0
452,1.0
35,1.0
454,1.0
264,1.0
456,1.0
457,1.0
381,1.0
353,1.0
460,1.0
198,1.0
462,15.0
463,1.0
241,1.0
465,1.0
246,1.0
130,1.0
270,1.0
154,1.0
470,1.0
154,1.0
130,1.0
129,1.0
277,1.0
270,1.0
476,1.0
2,2.0
478,
35,1.0
457,1.0
481,1.0
482,1.0
165,1.0
48,1.0
290,1.0
409,1.0
487,1.0
488,1.0
489,
129,1.0
104,1.0
1,1.0
493,1.0
494,1.0
495,1.0
496,1.0
487,1.0
198,1.0
499,1.0
500,1.0
416,1.0
402,1.0
503,1.0
283,1.0
88,1.0
506,1.0
196,1.0
508,1.0
509,15.0
510,1.0
511,2.0
328,2.0
118,1.0
495,1.0
515,1.0
516,1.0
290,1.0
518,1.0
519,1.0
198,1.0
452,1.0
80,1.0
91,1.0
1,1.0
525,1.0
129,1.0
132,1.0
528,1.0
35,1.0
481,1.0
306,2.0
532,1.0
238,1.0
534,1.0
386,1.0
536,1.0
537,2.0
538,1.0
1,1.0
155,1.0
541,1.0
132,1.0
328,2.0
544,1.0
500,1.0
546,1.0
153,1.0
548,1.0
448,1.0
286,1.0
129,1.0
3,1.0
553,1.0
554,1.0
555,2.0
556,1.0
557,1.0
279,1.0
1,1.0
321,1.0
153,1.0
562,15.0
407,1.0
265,1.0
565,1.0
566,1.0
567,1.0
568,1.0
569,1.0
570,1.0
405,1.0
572,1.0
573,1.0
28,1.0
129,1.0
243,1.0
478,
578,1.0
219,1.0
132,1.0
581,1.0
153,1.0
196,1.0
290,1.0
585,1.0
102,1.0
587,1.0
588,1.0
