type,type_id
Toro Red,1
Tempranillo,2
Ribera Del Duero Red,3
Pedro Ximenez,15
Red,19
Sherry,21
Priorat Red,28
Rioja Red,40
Rioja White,74
Grenache,110
,121
Cava,130
Verdejo,246
Syrah,267
Monastrell,293
Mencia,294
Sparkling,348
Montsant Red,439
Albarino,454
Chardonnay,506
Cabernet Sauvignon,624
Sauvignon Blanc,625
