id_wine,rating,num_reviews,price,body,acidity,id_rating
1,4.9,58,995.0,5.0,3.0,1
36,4.9,58,995.0,5.0,3.0,2
38,4.9,58,995.0,5.0,3.0,3
41,4.9,58,995.0,5.0,3.0,4
43,4.9,58,995.0,5.0,3.0,5
116,4.9,58,995.0,5.0,3.0,6
236,4.9,58,995.0,5.0,3.0,7
249,4.9,58,995.0,5.0,3.0,8
254,4.9,58,995.0,5.0,3.0,9
310,4.9,58,995.0,5.0,3.0,10
340,4.9,58,995.0,5.0,3.0,11
344,4.9,58,995.0,5.0,3.0,12
347,4.9,58,995.0,5.0,3.0,13
362,4.9,58,995.0,5.0,3.0,14
364,4.9,58,995.0,5.0,3.0,15
423,4.9,58,995.0,5.0,3.0,16
427,4.9,58,995.0,5.0,3.0,17
429,4.9,58,995.0,5.0,3.0,18
480,4.9,58,995.0,5.0,3.0,19
512,4.9,58,995.0,5.0,3.0,20
527,4.9,58,995.0,5.0,3.0,21
547,4.9,58,995.0,5.0,3.0,22
625,4.9,58,995.0,5.0,3.0,23
632,4.9,58,995.0,5.0,3.0,24
651,4.9,58,995.0,5.0,3.0,25
694,4.9,58,995.0,5.0,3.0,26
730,4.9,58,995.0,5.0,3.0,27
746,4.9,58,995.0,5.0,3.0,28
750,4.9,58,995.0,5.0,3.0,29
819,4.9,58,995.0,5.0,3.0,30
841,4.9,58,995.0,5.0,3.0,31
922,4.9,58,995.0,5.0,3.0,32
990,4.9,58,995.0,5.0,3.0,33
1006,4.9,58,995.0,5.0,3.0,34
1041,4.9,58,995.0,5.0,3.0,35
1042,4.9,58,995.0,5.0,3.0,36
1043,4.9,58,995.0,5.0,3.0,37
1045,4.9,58,995.0,5.0,3.0,38
1100,4.9,58,995.0,5.0,3.0,39
1239,4.9,58,995.0,5.0,3.0,40
1246,4.9,58,995.0,5.0,3.0,41
1259,4.9,58,995.0,5.0,3.0,42
1271,4.9,58,995.0,5.0,3.0,43
1274,4.9,58,995.0,5.0,3.0,44
1289,4.9,58,995.0,5.0,3.0,45
1297,4.9,58,995.0,5.0,3.0,46
1344,4.9,58,995.0,5.0,3.0,47
1389,4.9,58,995.0,5.0,3.0,48
1487,4.9,58,995.0,5.0,3.0,49
1506,4.9,58,995.0,5.0,3.0,50
1560,4.9,58,995.0,5.0,3.0,51
1567,4.9,58,995.0,5.0,3.0,52
1737,4.9,58,995.0,5.0,3.0,53
2,4.9,31,313.5,4.0,2.0,54
145,4.9,31,313.5,4.0,2.0,55
187,4.9,31,313.5,4.0,2.0,56
203,4.9,31,313.5,4.0,2.0,57
205,4.9,31,313.5,4.0,2.0,58
208,4.9,31,313.5,4.0,2.0,59
218,4.9,31,313.5,4.0,2.0,60
228,4.9,31,313.5,4.0,2.0,61
233,4.9,31,313.5,4.0,2.0,62
238,4.9,31,313.5,4.0,2.0,63
302,4.9,31,313.5,4.0,2.0,64
467,4.9,31,313.5,4.0,2.0,65
765,4.9,31,313.5,4.0,2.0,66
821,4.9,31,313.5,4.0,2.0,67
843,4.9,31,313.5,4.0,2.0,68
854,4.9,31,313.5,4.0,2.0,69
3,4.8,1793,324.95,5.0,3.0,70
4,4.8,1793,324.95,5.0,3.0,71
5,4.8,1793,324.95,5.0,3.0,72
6,4.8,1793,324.95,5.0,3.0,73
7,4.8,1793,324.95,5.0,3.0,74
8,4.8,1793,324.95,5.0,3.0,75
10,4.8,1793,324.95,5.0,3.0,76
14,4.8,1793,324.95,5.0,3.0,77
17,4.8,1793,324.95,5.0,3.0,78
26,4.8,1793,324.95,5.0,3.0,79
50,4.8,1793,324.95,5.0,3.0,80
51,4.8,1793,324.95,5.0,3.0,81
