1,4.9,58
2,4.9,31
3,4.8,1793
4,4.8,1705
5,4.8,1309
6,4.8,1209
7,4.8,1201
8,4.8,926
9,4.8,643
10,4.8,630
11,4.8,591
12,4.8,454
13,4.8,438
14,4.8,417
15,4.8,398
16,4.8,372
17,4.8,295
18,4.8,250
19,4.8,217
20,4.8,211
21,4.8,174
22,4.8,172
23,4.8,145
24,4.8,139
25,4.8,125
26,4.8,118
27,4.8,103
28,4.8,87
29,4.8,87
30,4.8,84
31,4.8,79
32,4.8,70
33,4.8,69
34,4.8,68
35,4.8,68
36,4.8,56
37,4.8,52
38,4.8,50
39,4.8,40
40,4.8,40
41,4.8,32
42,4.8,31
43,4.8,28
44,4.8,26
45,4.8,26
46,4.8,26
47,4.7,12421
48,4.7,5266
49,4.7,4350
50,4.7,3929
51,4.7,3437
52,4.7,3164
53,4.7,3127
54,4.7,2935
55,4.7,2826
56,4.7,2765
57,4.7,2480
58,4.7,2419
59,4.7,2177
60,4.7,1892
61,4.7,1199
62,4.7,1141
63,4.7,940
64,4.7,935
65,4.7,690
66,4.7,685
67,4.7,675
68,4.7,593
69,4.7,560
70,4.7,543
71,4.7,511
72,4.7,476
73,4.7,442
74,4.7,425
75,4.7,393
76,4.7,347
77,4.7,312
78,4.7,308
79,4.7,303
80,4.7,300
81,4.7,295
82,4.7,292
83,4.7,291
84,4.7,285
85,4.7,280
86,4.7,268
87,4.7,264
88,4.7,256
89,4.7,254
90,4.7,251
91,4.7,243
92,4.7,240
93,4.7,225
94,4.7,220
95,4.7,214
96,4.7,205
97,4.7,203
98,4.7,196
99,4.7,184
100,4.7,173
101,4.7,171
102,4.7,137
103,4.7,136
104,4.7,134
105,4.7,133
106,4.7,132
107,4.7,131
108,4.7,131
109,4.7,127
110,4.7,123
111,4.7,118
112,4.7,117
113,4.7,116
114,4.7,112
115,4.7,110
116,4.7,108
117,4.7,102
118,4.7,102
119,4.7,100
120,4.7,94
121,4.7,92
122,4.7,89
123,4.7,87
124,4.7,82
125,4.7,80
126,4.7,74
127,4.7,72
128,4.7,67
129,4.7,65
130,4.7,64
131,4.7,63
132,4.7,60
133,4.7,59
134,4.7,58
135,4.7,57
136,4.7,53
137,4.7,51
138,4.7,50
139,4.7,49
140,4.7,49
141,4.7,47
142,4.7,45
143,4.7,42
144,4.7,41
145,4.7,41
146,4.7,40
147,4.7,39
148,4.7,37
149,4.7,35
150,4.7,33
151,4.7,32
152,4.7,31
153,4.7,31
154,4.7,30
155,4.7,29
156,4.7,28
157,4.7,27
158,4.7,27
159,4.6,6803
160,4.6,5938
161,4.6,5545
162,4.6,5116
163,4.6,4747
164,4.6,4685
165,4.6,4516
166,4.6,3383
167,4.6,3239
168,4.6,2416
169,4.6,2208
170,4.6,1608
171,4.6,1363
172,4.6,1108
173,4.6,1015
174,4.6,936
175,4.6,840
176,4.6,790
177,4.6,700
178,4.6,693
179,4.6,595
180,4.6,516
181,4.6,410
182,4.6,405
183,4.6,400
184,4.6,388
185,4.6,369
186,4.6,323
