wine,num_ratings,avg_rating
Tinto,2809,4.4452830188676025
Unico,1681,4.704878048780429
"Valbuena 5o",961,4.590322580645095
Reserva,676,4.35384615384613
Priorat,676,4.430769230769308
"Ribera del Duero",533,4.3827392120074915
"Unico Reserva Especial Edicion",529,4.730434782608682
"Rioja Reserva",400,4.305000000000003
"Gran Reserva",361,4.384210526315779
"Rioja Gran Reserva",361,4.3000000000000025
