price,avg_rating
33.8,4.496363636363637
33.82,4.3
33.9,4.305882352941175
33.95,4.337499999999999
34.22,4.3
34.25,4.3500000000000005
34.3,4.6
34.41,4.2
34.5,4.2357142857142875
34.55,4.4
34.56,4.4
34.65,4.3
34.75,4.4
34.8,4.5
34.85,4.3
34.9,4.361538461538464
34.95,4.3
35,4.454794520547947
35.01,4.3
35.09,4.2
35.15,4.366666666666667
35.2,4.4
35.35,4.3500000000000005
35.4,4.4
35.48,4.4
35.5,4.4
35.63,4.200000000000001
35.7,4.4
35.75,4.4
35.85,4.366666666666667
35.9,4.395454545454546
35.95,4.3
36,4.344303797468355
36.111307180686,4.3
36.3,4.3
36.5,4.300000000000004
36.57,4.3
36.75,4.4
36.85,4.3
36.9,4.317647058823529
36.91,4.299999999999999
36.93,4.3
36.94,4.3
36.95,4.4
36.97,4.2
37,4.366666666666667
37.065126,4.3
37.13,4.400000000000004
37.35,4.3
37.49,4.3
37.5,4.233333333333333
37.52,4.4
37.57,4.4
37.66,4.4
37.7,4.5
37.8,4.3999999999999995
37.9,4.232499999999999
37.95,4.2
37.98,4.4
38,4.306249999999999
38.12,4.4
38.3,4.3
38.37,4.2
38.4,4.3
38.5,4.387499999999999
38.66,4.4
38.7,4.4
38.84,4.200000000000001
38.9,4.5
38.95,4.3999999999999995
39,4.484821428571428
39.22,4.315384615384614
39.35,4.4
39.5,4.243999999999996
39.51,4.3
39.53,4.3
39.55,4.3
39.7,4.3
39.712635,4.3
39.75,4.333333333333333
39.78,4.3
39.89,4.3
39.9,4.30389610389611
39.95,4.379999999999999
39.98,4.3
39.99,4.4
40,4.419999999999999
40.2,4.4
40.3,4.4
40.33,4.5
40.41,4.5
40.45,4.3625000000000025
40.5,4.57413793103448
40.55,4.3
40.75,4.3
40.76,4.2
40.8333333333333,4.5
40.9,4.5
40.92,4.299999999999998
40.95,4.42
41,4.4
41.9,4.3
41.9188925,4.4
41.95,4.299999999999999
42,4.324999999999999
42.12,4.4
42.35,4.380000000000001
42.5,4.375
42.7,4.3999999999999995
42.75,4.475
42.9,4.325
42.95,4.449999999999999
43.24,4.3
43.5,4.535802469135794
43.6838985,4.5
43.8,4.3
43.85,4.4
43.86,4.3999999999999995
43.9,4.380000000000001
43.95,4.374999999999998
44,4.514285714285713
44.05,4.3
44.1,4.3
44.27,4.5
44.41,4.4
44.9,4.366666666666667
44.95,4.4
45,4.390526315789474
45.15,4.4
45.890156,4.4
45.9,4.5
45.95,4.3999999999999995
46,4.6000000000000005
46.16,4.3
46.45,4.352173913043477
46.5,4.3
46.88,4.3
46.9,4.3
46.95,4.3
47,4.3
47.01,4.3
47.3,4.5
47.45,4.3
47.5,4.5200000000000005
47.52,4.4
47.7,4.3
47.9,4.299999999999999
47.95,4.380000000000001
48,4.2
48.34,4.3
48.4,4.2
48.5,4.4818181818181815
48.537665,4.3
48.69,4.4
48.7,4.5
48.75,4.3
48.81,4.299999999999999
48.9,4.4
48.91,4.3
48.95,4.6
48.96,4.2
49,4.3
49.1,4.5
49.2,4.3999999999999995
49.5,4.5
49.6,4.4
49.61,4.3
49.65,4.4
49.67,4.4
49.75,4.402564102564106
49.85,4.2
49.9,4.396551724137932
49.95,4.453333333333332
50,4.531428571428572
50.34,4.5
50.51,4.6
50.67,4.3
50.76,4.4
50.9,4.4
51,4.5
51.05,4.4
51.19,4.2
51.2,4.3
51.35,4.200000000000001
51.45,4.3
51.5,4.5
51.526827174062,4.400000000000004
51.95,4.3999999999999995
52,4.410526315789474
52.5,4.323809523809522
52.8,4.300000000000004
52.9,4.4499999999999895
52.95,4.416666666666667
53.25,4.5
53.4,4.4
53.5,4.3
53.55,4.3
53.7,4.5
53.8,4.4
53.9,4.366666666666666
53.95,4.396666666666673
54,4.35
54.01,4.5
54.05,4.4
54.09,4.5
54.5,4.419999999999999
54.52,4.3
54.83,4.4
54.9,4.374999999999999
54.95,4.3
55,4.283018867924528
55.14,4.5
55.25,4.4
55.33,4.3999999999999995
55.35,4.5
55.45,4.3
55.47,4.2
55.5,4.3
55.75,4.2
55.95,4.486666666666667
56,4.4
56.26,4.2
56.27,4.484
56.5,4.5
56.75,4.4
56.7603202298046,4.3
56.89,4.299999999999999
56.92,4.300000000000004
56.95,4.420588235294121
57,4.5
57.11,4.4
57.49,4.3
57.5,4.299999999999999
57.8,4.3
57.9,4.4
57.96,4.5
58,4.3260869565217375
58.19,4.5
58.2142247461506,4.3999999999999995
58.25,4.3
58.26,4.2
58.3,4.4
58.9,4.481818181818181
58.95,4.488888888888889
59,4.442857142857142
59.25,4.405000000000001
59.55,4.3
59.75,4.3999999999999995
59.8,4.5
59.82,4.5
59.87,4.3
59.9,4.4044444444444455
59.95,4.261904761904764
60,4.261538461538463
60.06,4.5
60.25,4.299999999999999
60.4,4.300000000000004
60.45,4.299999999999999
60.61,4.3999999999999995
60.73,4.4
60.95,4.328571428571427
61,4.5
61.5,4.4
61.64,4.5
61.69,4.6
61.8491765262698,4.5
61.94,4.2
62,4.5
62.02,4.4
62.5,4.3
62.56,4.3
62.74,4.3
62.75,4.4
62.8,4.3
62.9,4.3
62.95,4.3
63.34,4.3
63.5,4.492727272727273
63.53,4.299999999999999
63.75,4.7
63.9,4.5
63.95,4.345454545454545
64,4.4379310344827605
64.3,4.5
64.35,4.4
64.5,4.275862068965519
64.75,4.3
64.8,4.3
64.9,4.6
64.99,4.4
65,4.392241379310348
65.05,4.7
65.22,4.3
65.25,4.3
65.34,4.3999999999999995
65.4,4.3999999999999995
65.5,4.5
65.9,4.319354838709682
65.95,4.6
66.07,4.7
66.73,4.3999999999999995
67.1,4.5
67.45,4.3
67.5,4.3
67.6,4.5
67.82,4.3
67.9,4.399999999999999
67.94,4.599999999999996
67.95,4.299999999999999
68,4.3500000000000005
68.4059721390231,4.5
68.55,4.3
68.7,4.6
68.9,4.45
68.99,4.3
69,4.437500000000002
69.5803235920536,4.5
69.79,4.400000000000002
69.8,4.5
69.9,4.3892857142857125
69.95,4.423529411764704
70,4.3
70.5,4.5
70.55,4.5
70.89,4.3
71.3,4.5
71.85,4.5
71.9,4.5
71.95,4.4
72,4.400000000000002
73,4.4433333333333325
73.57,4.400000000000002
73.6,4.428571428571429
73.62,4.5
73.65,4.4
73.9,4.32
73.95,4.3
74,4.412000000000002
74.5,4.4
74.55,4.4
74.56,4.4
74.9,4.42
74.95,4.4
75,4.431818181818182
75.04,4.5
75.1,4.7
75.3,4.6
75.5,4.373333333333332
75.8,4.4
75.81,4.5
75.92,4.3999999999999995
75.95,4.418181818181818
76.17,4.3
76.5,4.3999999999999995
76.87,4.3
76.95,4.6000000000000005
77,4.3999999999999995
77.22,4.2
77.36,4.2
77.5,4.5
77.7,4.3
77.9,4.333333333333333
77.98,4.4
78.38,4.476666666666668
78.49,4.4
78.5,4.5
78.65,4.418750000000003
78.9,4.489999999999999
78.95,4.300000000000004
79,4.6
79.1,4.6
79.55,4.5
79.75,4.3
79.8,4.599999999999998
79.9,4.559090909090908
79.95,4.4
79.98,4.3
80,4.300000000000005
80.95,4.449999999999999
80.98,4.5
81,4.6000000000000005
81.3,4.5
81.35,4.299999999999999
81.5,4.6
82,4.3
82.5,4.54
82.55,4.5
82.58,4.7
82.75,4.3999999999999995
82.95,4.5
84.36,4.5
84.55,4.3999999999999995
84.9,4.3
84.95,4.528571428571429
85,4.339999999999999
85.4,4.3
85.55,4.5
85.63,4.6
85.7,4.6000000000000005
85.8,4.200000000000001
85.9,4.2
85.95,4.55
86,4.6
86.15,4.3
86.9,4.7
86.95,4.2
87.02,4.6
87.3,4.4
87.9,4.4
88,4.299999999999999
88.05,4.6
88.5,4.5
88.9,4.7
89,4.584615384615385
89.17,4.6
89.3,4.6000000000000005
89.66,4.5
89.9,4.56
89.95,4.5
89.97,4.4
90,4.43529411764705
90.6,4.299999999999999
91,4.299999999999999
91.03,4.4
91.43,4.3999999999999995
91.5,4.4
91.57,4.4
92.24,4.299999999999999
92.8,4.5
92.8716274104906,4.459999999999999
93,4.3999999999999995
93.26,4.3
93.51,4.5
93.95,4.7
94.2,4.7
94.9,4.5
94.95,4.449999999999999
95,4.376502732240416
95.25,4.3
95.57,4.7
95.9,4.3999999999999995
96,4.400000000000001
96.38,4.5
97,4.4
97.07,4.3
97.35,4.3
97.5,4.3
98,4.299999999999998
98.9,4.2
99,4.592307692307693
99.35,4.5
99.9,4.299999999999999
99.95,4.6
100,4.319354838709676
101.01,4.366666666666666
101.1,4.3999999999999995
101.94,4.5
102,4.400000000000004
104,4.3999999999999995
104.5,4.4
104.9,4.5
105.12,4.4
105.15,4.8
105.8121097,4.4
106,4.4
106.35,4.6
106.92,4.3
107,4.3
107.5,4.5
107.57,4.7
107.74,4.3
107.9,4.5
108.21,4.6
108.9,4.7
109.41,4.6000000000000005
109.76,4.3999999999999995
109.9,4.400000000000002
110,4.33188405797102
110.5,4.5
111.9,4.6
112,4.4
112.26,4.5
112.76,4.3
113,4.5
113.18,4.7
113.2,4.442307692307694
113.72,4.3
114.28,4.7
114.5,4.5
114.6,4.299999999999999
114.95,4.6
115.2,4.4
115.85,4.5
115.9,4.3999999999999995
116,4.45625
116.05,4.299999999999999
116.187943627787,4.6000000000000005
116.54,4.7
116.9,4.3
117.3,4.299999999999999
118,4.3
118.5,4.5
118.89,4.5
119,4.363392857142864
119.35,4.3999999999999995
119.7,4.400000000000001
119.95,4.316666666666667
120,4.359999999999999
120.13,4.3
120.9,4.6000000000000005
121,4.6000000000000005
121.5,4.3
121.838963251908,4.5
121.936825872994,4.5
122.667917,4.4
123,4.599999999999999
123.76,4.4
123.89,4.7
124.5,4.2
125,4.4846153846153864
125.05,4.5
125.84,4.400000000000004
125.97,4.449999999999999
126.2,4.2
126.5,4.3999999999999995
126.64,4.6
127.2,4.299999999999999
127.23,4.5
128,4.6000000000000005
129.9,4.6
129.95,4.6000000000000005
130,4.375
130.5,4.3166666666666655
131.85,4.5
132.4,4.4
132.95,4.5
133.34,4.300000000000004
133.75,4.3999999999999995
134.19,4.7
134.26,4.7
134.89,4.7
135,4.607499999999996
135.5,4.6
135.95,4.3
136,4.6
137.75,4.3
138,4.4
139.3,4.5
139.63,4.4
139.9,4.2
140,4.429166666666671
140.840866321332,4.400000000000001
141,4.400000000000001
141.2,4.5
142,4.5
143.38,4.5
143.51,4.449999999999999
144.78,4.5
144.99,4.6
145,4.3669902912621446
145.9,4.7
146.05,4.299999999999999
146.95,4.5
147.85,4.6
148.39,4.5
148.65,4.3
149,4.400000000000004
149.5,4.457142857142856
149.9,4.6
150,4.369230769230768
152.6,4.3999999999999995
154,4.7
154.37,4.3999999999999995
154.5,4.5
154.85,4.7
154.9,4.7
155,4.349999999999999
157,4.5
157.4,4.6
157.95,4.5
158.88,4.349999999999999
159,4.6
159.8,4.4
160,4.330000000000002
160.81,4.5
161,4.2
162.38,4.6
162.5,4.299999999999999
164,4.5
164.66,4.6
164.9,4.5
165,4.473333333333333
165.85,4.3999999999999995
166.18,4.8
167,4.3999999999999995
168,4.5
169,4.400000000000001
169.4,4.5
169.95,4.5
170,4.333333333333332
170.5,4.5
172.5,4.5
173,4.3999999999999995
173.38,4.6
173.95,4.5
174.91,4.5
175,4.7
175.5,4.563157894736844
175.57,4.5
176.5,4.3
176.89,4.6000000000000005
176.98,4.5
177,4.599999999999997
177.45,4.299999999999999
178,4.4
180,4.34
181.5,4.6000000000000005
182,4.299999999999999
182.9,4.700000000000001
185,4.7
185.15,4.700000000000001
185.3,4.6
187.3,4.599999999999997
187.5,4.6000000000000005
187.91,4.5
189,4.6513513513513525
189.45,4.3
189.9,4.3
189.99,4.5
190,4.342682926829276
191.61,4.7
192.16,4.5
193,4.5
194,4.690625000000001
195,4.557225433526016
195.27,4.6
195.52,4.3
195.59,4.599999999999997
195.627379550654,4.8
195.99,4.4
196.29,4.3
197,4.3
197.3,4.6
198,4.5
199,4.3500000000000005
199.45,4.5
200,4.5
200.13,4.5
202.01,4.7
205,4.6000000000000005
205.95,4.6
206.91,4.3
207,4.6
207.11,4.6
209.31,4.400000000000002
210,4.6
210.5,4.533333333333333
211.92,4.3
213.5,4.3
213.9,4.7
214,4.6000000000000005
215.34,4.549999999999999
216,4.4
217.2,4.4
217.8,4.3
218,4.599999999999997
218.9,4.6
220,4.6000000000000005
225,4.440625000000001
225.2,4.599999999999997
227.95,4.8
228.57,4.599999999999997
228.63,4.5
228.9,4.5
229,4.5
230,4.433333333333334
232,4.599999999999997
234,4.7
234.9,4.7
234.98,4.5
235.95,4.3999999999999995
237,4.5
239.2,4.5
239.5,4.690625000000001
241.4,4.4
241.55,4.6
243.8,4.3
244.85,4.8
245.25,4.4
245.75,4.6
247.75,4.599999999999997
248,4.7
249,4.573529411764704
249.8,4.400000000000002
249.9,4.6
