category,wine,rating,wine_year
"Peor vino",Reserva,4.2,2011
"Peor vino",Tinto,4.2,2019
"Peor vino","Jumilla Blue Label",4.2,2019
"Peor vino","Jumilla Blue Label",4.2,2019
"Peor vino","Jumilla Blue Label",4.2,2019
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino","Ribera del Duero",4.2,2001
"Peor vino","Ribera del Duero",4.2,2001
"Peor vino","Ribera del Duero",4.2,2001
"Peor vino","Ribera del Duero",4.2,2001
"Peor vino","Ribera del Duero",4.2,2001
"Peor vino","Rejon Tempranillo",4.2,2015
"Peor vino","Finca Dofi",4.2,2016
"Peor vino","Finca Dofi",4.2,2016
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","Rioja Reserva",4.2,2013
"Peor vino","A Mano Rioja",4.2,2017
"Peor vino",Tinto,4.2,2017
"Peor vino","A Mano Rioja",4.2,2018
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Rioja Gran Reserva",4.2,2016
"Peor vino","Ribera del Duero",4.2,1996
"Peor vino","Ribera del Duero",4.2,1996
"Peor vino","Ribera del Duero",4.2,1996
"Peor vino","Ribera del Duero",4.2,1996
"Peor vino","Ribera del Duero",4.2,1996
"Peor vino","Gran Reserva",4.2,2010
"Peor vino","Gran Reserva",4.2,2010
"Peor vino","Gran Reserva",4.2,2010
"Peor vino","Vinas Viejas Verdejo",4.2,2019
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Tinto,4.2,2014
"Peor vino","Rioja Blanco",4.2,2017
"Peor vino","Rioja Blanco",4.2,2017
"Peor vino","Casa Cisca Monastrell",4.2,2015
"Peor vino",Tinto,4.2,2016
"Peor vino",Tinto,4.2,2014
"Peor vino",Valdegines,4.2,2018
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Reserva",4.2,2014
"Peor vino","Rioja Blanco",4.2,2018
"Peor vino","Rioja Blanco",4.2,2018
"Peor vino","Seleccion de Anada Albarino Rias Baixas",4.2,2012
"Peor vino","Vi de Vila Gratallops",4.2,2019
"Peor vino","Vi de Vila Gratallops",4.2,2019
"Peor vino",Tinto,4.2,2018
"Peor vino","Clos del Portal Somni",4.2,2016
"Peor vino",Tinto,4.2,2017
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino","Finca Dofi",4.2,2019
"Peor vino","Finca Dofi",4.2,2019
"Peor vino","Rejon Tempranillo",4.2,2018
"Peor vino","Seleccion Especial",4.2,2018
"Peor vino","Finca Dofi",4.2,1999
"Peor vino","Finca Dofi",4.2,1999
"Peor vino","200 Monges Rioja Reserva",4.2,2012
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Pago El Espino",4.2,2019
"Peor vino","Gran Reserva",4.2,2015
"Peor vino","Gran Reserva",4.2,2015
"Peor vino","Gran Reserva",4.2,2015
"Peor vino","Rejon Tempranillo",4.2,2017
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Gran Reserva",4.2,2014
"Peor vino",Tinto,4.2,2016
"Peor vino","Gran Reserva",4.2,1978
"Peor vino","Gran Reserva",4.2,1978
"Peor vino","Gran Reserva",4.2,1978
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Reserva",4.2,1982
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Rioja Gran Reserva",4.2,1996
"Peor vino","Gran Reserva",4.2,2015
"Peor vino","Gran Reserva",4.2,2015
"Peor vino","Gran Reserva",4.2,2015
"Peor vino","Gran Reserva",4.2,1994
"Peor vino","Gran Reserva",4.2,1994
"Peor vino","Gran Reserva",4.2,1994
"Peor vino",Tinto,4.2,2019
"Peor vino",Tinto,4.2,2007
"Peor vino","Rioja Blanco",4.2,2019
"Peor vino","Rioja Blanco",4.2,2019
"Peor vino",Reserva,4.2,1970
"Peor vino",Reserva,4.2,1970
"Peor vino",Reserva,4.2,1970
"Peor vino",Reserva,4.2,1970
"Peor vino",Reserva,4.2,1970
"Peor vino",Reserva,4.2,1970
"Peor vino","Vina Ardanza Reserva",4.2,2009
"Peor vino","Vina Ardanza Reserva",4.2,2009
"Peor vino","Vina Ardanza Reserva",4.2,2009
"Peor vino","Vina Ardanza Reserva",4.2,2012
"Peor vino","Vina Ardanza Reserva",4.2,2012
"Peor vino","Vina Ardanza Reserva",4.2,2012
"Peor vino","Seleccion Especial",4.2,2016
"Peor vino",Toro,4.2,2010
"Peor vino","Seleccion Especial",4.2,2015
"Peor vino",PSI,4.2,2018
"Peor vino",PSI,4.2,2018
"Peor vino",PSI,4.2,2017
"Peor vino",PSI,4.2,2017
"Peor vino","Seleccion Especial (Reserva)",4.2,2015
"Peor vino",Tinto,4.2,2016
"Peor vino",Tinto,4.2,2015
"Peor vino",Tinto,4.2,2012
"Peor vino","Mas La Plana Cabernet Sauvignon",4.2,2015
"Peor vino","Mas La Plana Cabernet Sauvignon",4.2,2015
"Peor vino",Tinto,4.2,2016
"Peor vino",Numanthia,4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Gran Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Rioja Reserva",4.2,2006
"Peor vino","Bosque de Matasnos Etiqueta Blanca",4.2,2018
"Peor vino","200 Monges Rioja Reserva",4.2,2010
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino","Vinas Viejas Verdejo",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Gran Reserva Rioja (Finca Ygay)",4.2,2011
"Peor vino","El Puntido",4.2,2014
"Peor vino","El Puntido",4.2,2014
"Peor vino","Crianza Tinto",4.2,2019
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","Rioja Gran Reserva",4.2,2013
"Peor vino","El Puntido",4.2,2015
"Peor vino","El Puntido",4.2,2015
"Peor vino","Gran Reserva Rioja",4.2,2011
"Peor vino","Vinas Viejas Verdejo",4.2,2018
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino","Rioja Gran Reserva",4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino","Finca Dofi",4.2,2012
"Peor vino","Finca Dofi",4.2,2012
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Rioja Reserva",4.2,2017
"Peor vino","Vina Ardanza Reserva",4.2,2010
"Peor vino","Vina Ardanza Reserva",4.2,2010
"Peor vino","Vina Ardanza Reserva",4.2,2010
"Peor vino",Toro,4.2,2004
"Peor vino","200 Monges Rioja Reserva",4.2,2009
"Peor vino","Gran Reserva Rioja (Finca Ygay)",4.2,2012
"Peor vino",An,4.2,2017
"Peor vino",Tinto,4.2,2018
"Peor vino","Finca Malaveina",4.2,2017
"Peor vino","Finca Malaveina",4.2,2017
"Peor vino","Gran Reserva Rioja (Finca Ygay)",4.2,2014
"Peor vino","Reserva XR",4.2,2016
"Peor vino","A Mano Rioja",4.2,2016
"Peor vino","Finca Dofi",4.2,2011
"Peor vino","Finca Dofi",4.2,2011
"Peor vino","Finca Dofi",4.2,2013
"Peor vino","Finca Dofi",4.2,2013
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Seleccion de Anada Albarino Rias Baixas",4.2,2011
"Peor vino","A Mano Rioja",4.2,2012
"Peor vino","Dominio de Atauta",4.2,2017
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Gran Reserva",4.2,2014
"Peor vino","Gran Reserva",4.2,2014
"Peor vino",Crianza,4.2,2019
"Peor vino",Crianza,4.2,2019
"Peor vino",Crianza,4.2,2019
"Peor vino",Crianza,4.2,2019
"Peor vino",Crianza,4.2,2019
"Peor vino",Crianza,4.2,2019
"Peor vino",Crianza,4.2,2019
"Peor vino","Finca Dofi",4.2,2017
"Peor vino","Finca Dofi",4.2,2017
"Peor vino","Rioja Blanco",4.2,2018
"Peor vino","Rioja Blanco",4.2,2018
"Peor vino","El Puntido",4.2,2016
"Peor vino","El Puntido",4.2,2016
"Peor vino",Mirto,4.2,2014
"Peor vino",Mirto,4.2,2014
"Peor vino","Vi de Vila Gratallops",4.2,2017
"Peor vino","Vi de Vila Gratallops",4.2,2017
"Peor vino","Vi de Vila Gratallops",4.2,2016
"Peor vino","Vi de Vila Gratallops",4.2,2016
"Peor vino","Ribera del Duero",4.2,2000
"Peor vino","Ribera del Duero",4.2,2000
"Peor vino","Ribera del Duero",4.2,2000
"Peor vino","Ribera del Duero",4.2,2000
"Peor vino","Ribera del Duero",4.2,2000
"Peor vino","I Gran Reserva",4.2,1964
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Rioja Gran Reserva",4.2,2015
"Peor vino","Roda Reserva Rioja",4.2,2004
"Peor vino","Roda Reserva Rioja",4.2,2004
"Peor vino","Roda Reserva Rioja",4.2,2004
"Peor vino","Roda Reserva Rioja",4.2,2004
"Peor vino","Roda Reserva Rioja",4.2,2004
"Peor vino","I Gran Reserva",4.2,1970
"Peor vino","Vinas Viejas Verdejo",4.2,2017
"Peor vino","Gran Reserva",4.2,1998
"Peor vino","Gran Reserva",4.2,1998
"Peor vino","Gran Reserva",4.2,1998
"Peor vino",Reserva,4.2,2013
"Peor vino",Reserva,4.2,2013
"Peor vino",Reserva,4.2,2013
"Peor vino",Reserva,4.2,2013
"Peor vino",Reserva,4.2,2013
"Peor vino",Reserva,4.2,2013
"Peor vino",Toro,4.2,2003
"Peor vino","Capellania Reserva",4.2,2016
"Peor vino","Finca El Otero",4.2,2016
"Peor vino","Gran Reserva Rioja (Finca Ygay)",4.2,2013
"Peor vino","Finca Terrerazo",4.2,2018
"Peor vino","Finca Dofi",4.2,2009
"Peor vino","Finca Dofi",4.2,2009
"Peor vino","El Puntido",4.2,2017
"Peor vino","El Puntido",4.2,2017
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Rioja Gran Reserva",4.2,2010
"Peor vino","Coleccion Privada",4.2,2017
"Peor vino",QS,4.2,2014
"Peor vino",QS,4.2,2014
"Peor vino",3.9,4.2,2017
"Peor vino",Numanthia,4.2,2016
"Peor vino","Vi de Vila Gratallops",4.2,2018
"Peor vino","Vi de Vila Gratallops",4.2,2018
"Peor vino",Toro,4.2,2001
"Peor vino","Finca Malaveina",4.2,2018
"Peor vino","Finca Malaveina",4.2,2018
"Peor vino","Rioja Blanco",4.2,2016
"Peor vino","Rioja Blanco",4.2,2016
"Peor vino","Purgatori Costers del Segre",4.2,2018
"Peor vino","Purgatori Costers del Segre",4.2,2018
"Peor vino",Valdegines,4.2,2017
"Peor vino","Rioja Graciano",4.2,2015
"Peor vino","Finca Dofi",4.2,2007
"Peor vino","Finca Dofi",4.2,2007
"Peor vino","Finca Dofi",4.2,2000
"Peor vino","Finca Dofi",4.2,2000
"Peor vino","Rioja Blanco",4.2,2014
"Peor vino","Rioja Blanco",4.2,2014
"Peor vino",Tinto,4.2,2014
