wine,wine_type,winery,avg_rating,num_ratings
"Clos Figueres","Priorat Red","Clos Figueras",4.324999999999999,16
"Castillo de Monte la Reina Cuvee Privee","Toro Red","Bodegas Monte La Reina",4.4,1
"Queiron Reserva Vinedos Familiares","Rioja Red",Ontanon,4.4,1
"Don PX Gran Reserva","Pedro Ximenez","Toro Albala",4.366666666666666,9
"Llanos del Almendro Ribera del Duero","Ribera Del Duero Red","Dominio de Atauta",4.333333333333333,9
"Toro 2V Premium","Toro Red","Bodega Elias Mora",4.4,1
"Les Eres Vinyes Velles","Priorat Red","Joan Simo",4.4,1
"Gran Reserva Classica Blanco","Rioja White","Hacienda Lopez de Haro",4.4,1
"The Artist",Red,"Can Axartell",4.4,1
"La Comtesse de Pazo Barrantes Albarino",Albarino,"Pazo Barrantes",4.4,1
"5V Blanco","Rioja White","Abel Mendoza Monge",4.4,1
"Finca Butaros Vinya Centenaria",Red,"Mas Llunes",4.4,1
"Seleccion Privada","Rioja Red","Marques de Vargas",4.3500000000000005,4
"Aponte Winemaker's Private Collection Tempranillo",Tempranillo,"Bodegas Frontaura",4.4,1
"Cami de Cormes",Red,"Roig Parals",4.4,1
1194,Red,Perinet,4.4,1
"Malabrigo Ribera del Duero","Ribera Del Duero Red","Cepa 21",4.3500000000000005,4
"Reserva Trajanvs",Red,Avgvstvs,4.4,1
"Emporda Gran Claustro",Red,"Castillo Perelada",4.4,1
"Lalomba Finca Valhonta","Rioja Red","Ramon Bilbao",4.4,1
Manyetes,"Priorat Red","Clos Mogador",4.4,4
"Pago Valdebellon","Cabernet Sauvignon","Abadia Retuerta",4.324999999999999,16
"Guarda de Leda Seleccion Tempranillo",Tempranillo,Leda,4.4,1
"Vinyes Altes Porrera","Priorat Red","Bodegas Celler Francisco Castillo - Clos Dominic",4.3999999999999995,9
"5 Partides Gratallops Vi de La Vila","Priorat Red","Cal Batllet - Celler Ripoll Sans",4.4,1
"Cava Ex-Vite Gran Reserva Brut",Cava,Llopart,4.4,1
"Summa Edicion Limitada","Ribera Del Duero Red",Portia,4.4,1
"Pago El Espino",Red,"Los Aguilares",4.3,4
"Gloria Rioja","Rioja Red",Ostatu,4.3500000000000005,4
"Petra de Valpiedra Garnacha",Grenache,"Finca Valpiedra",4.4,1
"Alto de la Caseta","Rioja Red","Vina Pomal",4.3500000000000005,4
"Mas de la Rosa","Priorat Red","Vall Llach",4.4,1
"Rioja B70","Rioja Red",Baigorri,4.4,1
"Don Miguel","Ribera Del Duero Red",Comenge,4.4,1
"Singular Negre","Cabernet Sauvignon","Collbaix Celler El Moli",4.4,1
"Rioja Reserva Especial","Rioja Red","Martinez Lacuesta",4.4,1
"Rioja Cisma","Rioja Red",Pujanza,4.3999999999999995,9
"Martires Rioja","Rioja White",Allende,4.4,4
"Cava Original Brut (Espumos)",Cava,Llopart,4.4,1
"Marti Reserva Penedes",Red,"Albet i Noya",4.4,4
"Vina Ardanza Reserva Seleccion Especial","Rioja Red","La Rioja Alta",4.4,1
"Pozo Alto","Rioja Red","Olivier Riviere",4.4,1
"El Cristo de Samaniego","Rioja Red","Bodegas Amaren",4.4,1
"El Belisario",Tempranillo,"Bodegas Tierra",4.4,1
"Baron de Ona Rioja Reserva","Rioja Red","Torre de Ona",4.4,1
"Cepas Vellas Rias Baixas Albarino",Albarino,"Do Ferreiro (Bodegas Gerardo Mendez)",4.3500000000000005,4
"La Aguilera","Ribera Del Duero Red",Legaris,4.4,1
Pirata,"Rioja White","Bodega Contador (Benjamin Romeo)",4.4,1
Hispania,"Ribera Del Duero Red","Territorio Luthier",4.3500000000000005,4
Arousa,Albarino,"Martin Codax",4.4,1
"Las Cenizas Tempranillo","Rioja Red","Vinedos Hermanos Hernaiz",4.4,1
"Solanes Priorat","Priorat Red","Cims de Porrera",4.4,1
"Cava Cuvee De Prestige Trepat",Cava,Freixenet,4.4,1
"Felix Azpilicueta Coleccion Privada","Rioja Red",Azpilicueta,4.4,1
"Savinat Sauvignon Blanc","Sauvignon Blanc",Gramona,4.4,1
"Capricho Crianza","Ribera Del Duero Red","Veronica Salgado",4.4,1
"Finca La Emperatriz Vinedo Singular Tinto","Rioja Red","Vinedos Hermanos Hernaiz",4.4,1
Galena,"Priorat Red","Clos Galena",4.3500000000000005,4
"Finca Helena","Ribera Del Duero Red","Bodegas Imperiales - Abadia de San Quirce",4.4,1
Primordium,"Ribera Del Duero Red","Marta Mate",4.4,1
"La Cuartilleja Reserva","Ribera Del Duero Red","Venta Las Vacas",4.3500000000000005,4
Noble,"Ribera Del Duero Red",Figuero,4.4,1
"De Garage Rioja","Rioja Red",Baigorri,4.3500000000000005,4
"Gran Calzadilla",Red,"Pago Calzadilla",4.3500000000000005,4
"4 Varietales Coleccion Rioja","Rioja Red",Vivanco,4.4,1
"Numerus Clausus",Tempranillo,Museum,4.4,1
"200 Monges Rioja Seleccion Especial Reserva Blanco","Rioja White","Vinicola Real",4.4,1
"Campus Gothorum","Toro Red",Farina,4.4,1
"La Pizca",Red,"Galindo San Millan",4.4,1
"Moradillo de Roa","Ribera Del Duero Red",Legaris,4.4,1
Cofradia,"Rioja Red","Bodegas Casa Primicia",4.4,1
Planella,"Montsant Red","Joan d'Anguera",4.4,1
"Gallaecia Rias Baixes Albarino",Albarino,"Martin Codax",4.4,1
Monada,Red,Xaloc,4.4,1
Verdejo,Verdejo,"Bodegas Frontaura",4.4,1
"Vina Garugele","Rioja Red","Carlos Moro",4.4,1
Barrica,Red,Ladairo,4.4,1
Voltons,"Priorat Red","Conreria d'Scala Dei",4.3500000000000005,4
"Valcavado de Traslascuestas","Ribera Del Duero Red",Traslascuestas,4.4,1
"Oscar Tobia Gran Reserva Rioja","Rioja Red",Tobia,4.4,1
"La Baixada","Priorat Red","Alvaro Palacios",4.4,1
Seleccion,"Ribera Del Duero Red","Lopez Cristobal",4.35,2
Seleccion,"Rioja Red",Ysios,4.35,2
"Cava El Tros Nou Pinot Noir",Cava,Codorniu,4.4,1
"Los Dominios de Berceo Prefiloxerico","Rioja Red",Berceo,4.4,1
"Sao Expressiu",Red,"Mas Blanch I Jove",4.4,1
"Onomastica Rioja Reserva","Rioja Red","Carlos Serres",4.4,1
"Vina Arana Gran Reserva","Rioja Red","La Rioja Alta",4.333333333333333,9
"Carinena Parcela 15 Vinas Viejas",Red,Anayon,4.4,1
Vobiscum,"Rioja Red","David Moreno",4.4,1
"La Navilla","Ribera Del Duero Red","Vina Pedrosa",4.4,1
"Merlot - Syrah",Red,Edra,4.4,1
"Pago de Las Costanas",Tempranillo,Valdelosfrailes,4.4,1
"Cava Gran Reserva Familiar Millenium Brut",Cava,"Guillem Carol - Cellers Carol Valles",4.4,1
"Zona Zepa Monastrell",Monastrell,Barahonda,4.4,1
"Alma Tobia Blanco","Rioja White",Tobia,4.4,1
"Garnacha Vinas Centenarias",Grenache,Particular,4.4,1
"El Jardin de las Iguales Vinedo Historico Garnacha",Grenache,"Bodegas Frontonio",4.4,1
"Silvanus Edicion Limitada Ribera del Duero","Ribera Del Duero Red","Bodegas Asenjo & Manso",4.4,1
"Vina Tondonia Reserva","Rioja Red","R. Lopez de Heredia",4.3,9
PSI,"Ribera Del Duero Red","Dominio de Pingus",4.250000000000001,16
"Seleccion Especial (Reserva)","Rioja Red",Muga,4.25,4
"Mas La Plana Cabernet Sauvignon","Cabernet Sauvignon","Familia Torres",4.233333333333333,9
Numanthia,"Toro Red","Bodega Numanthia",4.2666666666666675,9
"Bosque de Matasnos Etiqueta Blanca","Ribera Del Duero Red","Bosque de Matasnos",4.25,4
"Reserva Seleccion de la Familia","Rioja Red","Luis Canas",4.3,4
"Gran Reserva Rioja (Finca Ygay)","Rioja Red","Marques de Murrieta",4.279999999999999,25
"El Puntido","Rioja Red","Vinedos de Paganos",4.266666666666664,36
"Crianza Tinto","Ribera Del Duero Red","Pago de Los Capellanes",4.25,4
"Gran Reserva Rioja","Rioja Red","Marques de Vargas",4.25,2
"Gran Reserva Rioja","Rioja Red",Campillo,4.25,2
An,Red,"Anima Negra",4.25,4
"La Baraja","Ribera Del Duero Red","Bodegas Vilano",4.3,1
"Finca Malaveina",Red,"Castillo Perelada",4.250000000000001,16
"Reserva XR","Rioja Red","Marques de Riscal",4.25,4
"Alenza Ribera del Duero Gran Reserva","Ribera Del Duero Red","Condado de Haza",4.3,1
"Chardonnay Fermentado en Barrica",Chardonnay,Enate,4.3,9
"Vatan Tinta de Toro","Toro Red",Ordonez,4.3,4
"Alicante Bouschet by Tarima",Red,Volver,4.3,4
"Dominio de Atauta","Ribera Del Duero Red","Dominio de Atauta",4.25,4
Crianza,"Ribera Del Duero Red","Carmelo Rodero",4.222222222222224,27
Crianza,"Ribera Del Duero Red","Bodegas Vilano",4.222222222222222,9
Crianza,"Ribera Del Duero Red",Matarromera,4.222222222222224,18
Crianza,"Ribera Del Duero Red","Tinto Pesquera",4.222222222222222,9
Crianza,"Ribera Del Duero Red","Dehesa de Los Canonigos",4.222222222222224,18
Laurel,"Priorat Red","Clos Erasmus",4.3,4
"Seleccion La Aguilera","Ribera Del Duero Red","Dominio de Cair",4.3,1
"Finca Martelo","Rioja Red","Torre de Ona",4.3,1
Mirto,"Rioja Red","Ramon Bilbao",4.233333333333333,9
"I Gran Reserva","Rioja Red","Bodegas Faustino",4.2749999999999995,16
"Roda Reserva Rioja","Rioja Red","Bodegas Roda",4.228571428571425,49
"Rioja Vina Coqueta","Rioja Red","Remirez de Ganuza",4.3,1
"Capellania Reserva","Rioja White","Marques de Murrieta",4.25,4
"Torre Albeniz Reserva Ribera del Duero","Ribera Del Duero Red","Finca Torremilanos",4.3,1
"Finca El Otero","Ribera Del Duero Red",Aster,4.25,4
"Familia Comenge Reserva","Ribera Del Duero Red",Comenge,4.3,1
"Tierra Alta de 2 Cotas Reserva","Ribera Del Duero Red","Bodegas Valduero",4.3,1
"Fagus de Coto de Hayas Garnacha",Grenache,"Bodegas Aragonesas",4.3,1
"Finca Terrerazo",Red,Mustiguillo,4.25,4
"Godina Garnacha",Grenache,Morca,4.3,1
QS,Red,"Quinta Sardonia",4.250000000000001,16
"Don Miguel Comenge Reserva","Ribera Del Duero Red",Comenge,4.3,1
3.9,Red,Abadal,4.2666666666666675,9
"Finca Iscorta Gran Reserva","Rioja Red","Hermanos Pecina",4.3,1
"Finca Biniagual Veran",Red,Biniagual,4.3,1
"Brega Garnacha",Grenache,Breca,4.3,1
"Cerro Anon Rioja Gran Reserva","Rioja Red","Bodegas Olarra",4.3,1
Masdeu,"Priorat Red","Scala Dei",4.3,9
Pantocrator,"Rioja Red",Taron,4.3,1
"Senorio de Cuzcurrita Rioja","Rioja Red","Castillo de Cuzcurrita",4.3,1
"Silencio de Miros Ribera Del Duero","Ribera Del Duero Red",Penafiel,4.3,1
"Queiron Mi Lugar","Rioja Red",Ontanon,4.3,1
"Purgatori Costers del Segre",Red,"Familia Torres",4.233333333333333,9
"Perfume de Sonsierra","Rioja Red",Sonsierra,4.3,1
"Chardonnay Roure",Chardonnay,"Vins Miquel Gelabert",4.3,1
"Rioja Graciano","Rioja Red",Contino,4.2749999999999995,16
"ARX Arcos de la Frontera",Red,"Bodega Tesalia",4.3,1
"Navarra Reserva Coleccion 125",Red,Chivite,4.3,1
"Suprema 30 Meses","Ribera Del Duero Red","Bodega de Bardos",4.3,1
Venus,"Montsant Red","Venus la Universal",4.3,4
Grillo,Red,"El Grillo y La Luna",4.3,1
"Prieto Picudo",Red,Tridente,4.3,4
Sofia,Red,"De Moya",4.3,1
"Finca Cuesta Clara Raro Reserva","Rioja Red",Campillo,4.3,4
"Fermentado En Barrica Blanco",Verdejo,"Tomas Postigo",4.3,1
"Ribera Del Duero Gran Reserva","Ribera Del Duero Red","Bodegas Valduero",4.3,1
"Vinya La Scala Gran Reserva Cabernet Sauvignon","Cabernet Sauvignon","Jean Leon",4.3,1
"Atteca Armas Garnacha Old Vines",Grenache,"Bodegas Ateca",4.3,1
"Syrah (Shiraz)",Syrah,Enate,4.3,1
"Campo Eliseo","Toro Red","Bodega Campo Eliseo",4.3,1
"Vinas Viejas Tempranillo",Tempranillo,Leda,4.3,1
"Palmeri Navalta Garnacha",Grenache,"Palmeri Sicilia",4.2,1
Elite,"Ribera Del Duero Red",Pradorey,4.3,1
"La Plazuela",Red,"Mas Que Vinos",4.3,1
"Solar de Estraunza Reserva",Tempranillo,"Bodegas Estraunza",4.3,1
"III a.C","Rioja Red",Beronia,4.3,1
Matallana,"Ribera Del Duero Red","Telmo Rodriguez",4.3,4
"Rioja Norte","Rioja Red",Pujanza,4.3,9
Artigas,"Priorat Red","Bodegas Mas Alta",4.25,4
Julia,Monastrell,"De Moya",4.3,1
Pancrudo,"Rioja Red","Gomez Cruzado",4.3,1
Aurea,Mencia,Pittacum,4.3,1
"Coleccion Syrah",Syrah,"Bodega Sommos",4.3,1
"Flor de Primavera Peraj Ha'abib","Montsant Red","Celler de Capcanes",4.3,1
"Altos de Losada El Cepon",Mencia,Losada,4.3,1
"Gran Vino Blanco",Chardonnay,Arinzano,4.3,9
"Crianza Vendimia Seleccionada","Ribera Del Duero Red","Pago del Vostal",4.3,1
"Finca Azaya Premium","Ribera Del Duero Red","Bodegas Valduero",4.3,1
"Ribera del Duero Tinto","Ribera Del Duero Red",Neo,4.3,1
"No. 20",Red,Habla,4.3,1
"Martelo Reserva","Rioja Red","Torre de Ona",4.25,4
"Vintage Albarino",Albarino,"Paco & Lola",4.3,1
"Finca la Atalaya Reserva","Ribera Del Duero Red",Valtravieso,4.3,1
"Clos Cypres Vinyes Velles (Old Vines)","Priorat Red","Costers del Priorat",4.3,1
"Castineiro Albarino",Albarino,"Eulogio Pomares",4.3,1
Altar,Red,"Bodega Otazu",4.3,1
"Toro Gran Elias Mora","Toro Red","Bodega Elias Mora",4.3,1
"Arnau Oller Seleccio de la Familia",Red,"Oller del Mas",4.3,1
Orbus,Syrah,"Alta Alella",4.3,1
Malbec,Red,"Bodegas Clunia",4.3,1
"Altos de Losada",Mencia,Losada,4.233333333333333,9
"Reserva Especial Rioja","Rioja Red",Campillo,4.3,1
"Hiru 3 Rioja Racimos","Rioja Red","Luis Canas",4.3,1
Triaca,"Priorat Red","Ca l'Apotecari",4.3,1
Cyclo,"Ribera Del Duero Red","Finca Torremilanos",4.3,1
"Maimo Garnatxa",Grenache,"Josep Grau Viticultor",4.3,1
"Nunci Negre","Priorat Red","Mas de les Pereres",4.3,1
"Musivari Gran Reserva Brut Nature",Sparkling,Guilera,4.3,1
"Faustino de Autor Reserva Especial","Rioja Red","Bodegas Faustino",4.3,1
"Vinas Viejas Aguilera","Priorat Red","l'Infernal Combier Fischer Gerin",4.3,1
"Juan Piernas Finca El Paso Malo Monastrell",Monastrell,"Jorge Piernas",4.3,1
"Albarino Pedralonga",Albarino,Pedralonga,4.3,1
"Vinyes Velles de Samso","Montsant Red","Vinyes Domenech",4.3,1
Malvasia,"Rioja White","Abel Mendoza Monge",4.3,1
"Antigues Reserves",Red,Avgvstvs,4.3,1
"Baron de Chirel Verdejo Vinas Centenarias",Verdejo,"Marques de Riscal",4.3,1
"Masia Carreras Negre",Red,"Marti Fabra",4.3,1
"Milagros de Figuero","Ribera Del Duero Red",Figuero,4.3,1
"Coma Bruna",Red,Espelt,4.3,1
"Grano a Grano Tempranillo","Rioja Red","Abel Mendoza Monge",4.3,1
S'Alou,Red,"Vinyes dels Aspres",4.3,1
"Altos R Pigeage","Rioja Red","Altos de Rioja",4.3,1
"Finca Monteviejo","Rioja Red",Valserrano,4.3,1
Habis,Verdejo,Shaya,4.3,1
"5o Ano",Red,"Finca Rio Negro",4.3,4
Gaminde,"Rioja Red",Allende,4.3,1
"Varietal Fermentacion Lenta","Pedro Ximenez","Bodegas Ximenez-Spinola",4.3,1
"El Cordero y las Virgenes",Red,Loxera,4.3,1
"Garnacha Tintorera",Red,Neton,4.3,1
Cabernet,Red,Enate,4.3,1
Juegabolos,"Ribera Del Duero Red",Valderiz,4.3,1
Sketch,Albarino,"Raul Perez",4.3,1
Montsalvat,"Priorat Red","Cartoixa de Montsalvat",4.3,4
"Sio Negre",Red,"Bodega Ribas",4.3,1
"Pago de Otazu Chardonnay Con Crianza",Chardonnay,"Bodega Otazu",4.3,1
"Verdejo Fermentado en Barrica",Verdejo,"Jose Pariente",4.3,1
"Vina Centenaria Mencia",Mencia,"Anibal de Otero",4.3,1
"Cerro del Lobo Syrah",Syrah,"Finca Rio Negro",4.3,1
"Summum Monastrell",Monastrell,Barahonda,4.25,4
"Finca La Herradura","Ribera Del Duero Red","Altos del Enebro",4.3,1
"Alma de Mar Albarino",Albarino,Albamar,4.3,1
"Rioja Anadas Frias","Rioja White",Pujanza,4.3,1
"Suzzane Rioja","Rioja Red","Oxer Wines",4.3,1
Monreal,Red,"Can Bas",4.3,1
"8 Vents Mallorca",Red,"Atlan & Artisan",4.3,1
"Vd'O 1 Samso - Pissarra",Red,Olivardots,4.3,1
"Cava Gran Reserva La Capella Brut",Cava,"Juve & Camps",4.3,1
"Coleccion No. 3 Cosecha","Rioja Red","Bodega Contador (Benjamin Romeo)",4.3,1
"Albarino Sobre Lias",Albarino,"La Val",4.3,1
Nobbis,Tempranillo,"Tres Piedras",4.3,1
"Rara Avis Prieto Picudo",Red,"Raul Perez",4.3,1
Sensal,Red,"Javi Revert",4.3,1
"Campo Eliseo Blanco",Verdejo,"Bodega Campo Eliseo",4.3,1
"Blanc de Neu",Sparkling,"Alta Alella",4.3,1
"La Mar",Albarino,"Terras Gauda",4.3,1
"T3rno Seleccion de 3 Parcelas Ribera del Duero","Ribera Del Duero Red",Tarsus,4.3,1
"Parcelas de Maturana Tinta Coleccion Rioja","Rioja Red",Vivanco,4.3,1
"Reserva Real",Red,"Familia Torres",4.3,1
"Attis Embaixador Albarino",Albarino,Attis,4.3,1
"Vitola Reserva","Rioja Red","Miguel Merino",4.3,1
"San Cucufate Monasterio","Ribera Del Duero Red","San Cobate",4.3,1
"Tras Los Muros Albarino",Albarino,"Pazo Senorans",4.3,1
"CM Tinto",Tempranillo,"Carlos Moro",4.3,1
"Clos Adrien",Red,"Terra Remota",4.3,1
"Lalomba Finca Ladero","Rioja Red","Ramon Bilbao",4.3,1
"El Reventon Cebreros",Grenache,Jimenez-Landi,4.3,1
"200 Monges Edicion Exclusiva Blanco Reserva","Rioja White","Vinicola Real",4.3,1
"Eolic Sauvignon Blanc","Sauvignon Blanc",Arid,4.3,1
"Finca Valmediano Tinta de Toro 16 Meses Barrica","Toro Red","Carlos Moro",4.3,1
"Cantos del Diablo",Grenache,Jimenez-Landi,4.3,9
"Teofilo Reyes Crianza","Ribera Del Duero Red","Bodegas Reyes",4.3,4
Falguera,Red,"Hugas de Batlle",4.3,1
"Epistem No. 3",Red,"Atlan & Artisan",4.3,1
"Angel Ribera del Duero","Ribera Del Duero Red","Bodegas Arrocal",4.3,1
Pleret,"Priorat Red","Buil & Gine",4.3,1
"A Torna dos Pasas Escolma Ribeiro",Red,"Luis A. Rodriguez Vazquez",4.3,1
"Costers Del Segre 1780",Red,"Castell del Remei",4.3,1
Ines,"Ribera Del Duero Red",Vizcarra,4.3,4
Honoris,"Ribera Del Duero Red",Valdubon,4.3,1
"Club Rioja Reserva","Rioja Red",Altanza,4.3,1
"Camino del Abuelo Vinas Viejas","Ribera Del Duero Red","Bodegas Y Vinedos Alilian",4.3,1
"La Morera de San Lazaro",Tempranillo,Artadi,4.3,1
Quintanilla,Tempranillo,Artadi,4.3,1
"Finca Los Quemados","Ribera Del Duero Red","Goyo Garcia Viadero",4.3,1
"Albarino (O Rosal)",Albarino,"Santiago Ruiz",4.3,1
Rioja,"Rioja Red",Pujanza,4.3,1
"Argila Reserva 3 Anys Brut Nature",Sparkling,"Mas Bertran",4.3,1
Octogenarius,Grenache,"Bodegas Gama",4.3,4
"Finca La Pedrissa",Red,Edetaria,4.3,1
Magister,Red,"Hacienda Zorita Natural Reserve",4.3,1
"Ribera del Duero Vendimia Seleccionada VT","Ribera Del Duero Red",Valtravieso,4.3,1
Sibila,Red,"Can Xanet",4.3,1
"Emporda Reserva Especial Don Miguel Mateu",Red,"Castillo Perelada",4.3,1
"Cabrida Montsant","Montsant Red","Celler de Capcanes",4.3,1
"Suane Blanco","Rioja White","Alonso & Pedrajo",4.3,1
"Pinot Noir",Red,"Mandia Vell",4.3,2
"Pinot Noir",Red,"Los Aguilares",4.3,2
"Cerro La Isa Blanco","Rioja White","Bodega Juan Carlos Sancha",4.3,1
"Cuvee Verdejo",Verdejo,Valdecuevas,4.3,1
Tabuerniga,"Rioja Red","Telmo Rodriguez",4.3,1
"Seleccion Especial Verdejo",Verdejo,Mocen,4.3,1
"Coster d'en Fornos","Montsant Red",Estones,4.3,1
"Laderas de Inurrieta",Red,Inurrieta,4.3,1
"El Velado Tinto","Rioja Red","Telmo Rodriguez",4.3,1
Naiades,Verdejo,Naia,4.3,1
"Fuenmayor Gran Reserva","Rioja Red",AGE,4.3,1
"Mirador de Navajas Reserva Rioja","Rioja Red",Navajas,4.3,1
"Cerro La Isa Garnacha","Rioja Red","Bodega Juan Carlos Sancha",4.3,1
"Nus del Terrer",Red,"Vinyes del Terrer",4.3,1
Nivel,"Ribera Del Duero Red","Cepas Familiares",4.3,1
"Pago de las Sabinas","Ribera Del Duero Red",Zifar,4.3,1
Gueta-Lupia,"Priorat Red","Bordalas Garcia",4.3,1
"Cava Reserva Especial Chardonnay Brut Nature",Cava,Rimarts,4.3,1
"Ribera del Duero Vendimia Seleccionada","Ribera Del Duero Red","Pinna Fidelis",4.3,1
"No. 23",Red,Habla,4.3,1
"Las Iruelas El Tiemblo",Grenache,Jimenez-Landi,4.3,1
"Diego Magana","Rioja Red","Dominio de Anza",4.3,1
Graciano,"Rioja Red","Bodegas Amaren",4.3,1
"Cerro Las Cuevas Seleccion Terroir","Rioja Red","Gomez Cruzado",4.3,1
"Altos R Pigeage Graciano","Rioja Red","Altos de Rioja",4.3,1
Ronda,Red,Samsara,4.3,1
"Nisia Las Suertes Verdejo Old Vines",Verdejo,Ordonez,4.3,1
Territori,Red,"Josep Grau Viticultor",4.3,1
Alomado,"Rioja Red",Cuentavinas,4.3,1
"Senda de Los Olivos Roble","Ribera Del Duero Red",Zifar,4.3,1
"Coto de Imaz Rioja Gran Reserva","Rioja Red","El Coto",4.2,4
"Vina Alberdi Reserva","Rioja Red","La Rioja Alta",4.2,4
"Rias Baixas Albarino Atlantico",Albarino,"Mar de Frades",4.2,4
"Ribera del Duero Crianza","Ribera Del Duero Red",Arzuaga,4.2,9
"27 Ribera del Duero","Ribera Del Duero Red",Protos,4.2,9
"Terras Gauda O Rosal",Albarino,"Terras Gauda",4.2,4
Salmos,"Priorat Red","Familia Torres",4.2,4
"Vina Bosconia Reserva","Rioja Red","R. Lopez de Heredia",4.2,9
"La Atalaya del Camino",Red,Atalaya,4.2,4
"Rioja 150 Aniversario","Rioja Red","Marques de Riscal",4.2,1
"Veraton Garnacha",Grenache,"Alto Moncayo",4.2,4
"Alexander vs. The Ham Factory","Ribera Del Duero Red","Casa Rojo",4.2,1
"Vina Alberdi Crianza","Rioja Red","La Rioja Alta",4.2,4
"Taberner Tierra de Cadiz",Syrah,"Huerta de Albala",4.2,4
"Ribera del Duero Red","Ribera Del Duero Red",Montecastro,4.2,9
"Corimbo I","Ribera Del Duero Red","Bodegas La Horra",4.200000000000001,16
"Vina Tondonia Reserva Blanco","Rioja White","R. Lopez de Heredia",4.2,1
"Reserva 5 Ano","Ribera Del Duero Red",Protos,4.2,4
"Les Terrasses Velles Vinyes Priorat","Priorat Red","Alvaro Palacios",4.2,1
"Les Terrasses Laderas de Pizarra","Priorat Red","Alvaro Palacios",4.2,1
Inici,"Priorat Red","Merum Priorati",4.2,1
"5 Finques (Fincas) Reserva",Red,"Castillo Perelada",4.2,1
"Martinet Bru (Garnatxa - Syrah)","Priorat Red",Martinet,4.2,1
"Ribera Del Duero Reserva","Ribera Del Duero Red","Bodegas Valduero",4.2,1
"Angeles de Amaren Tempranillo - Graciano","Rioja Red","Bodegas Amaren",4.2,1
"Bassus Pinot Noir",Red,"Hispano Suizas",4.2,4
"Sericis Cepas Viejas Monastrell",Monastrell,Murviedro,4.2,1
"Rioja Reserva Fincas de Ganuza","Rioja Red","Remirez de Ganuza",4.2,1
"Corpinnat Terrers Brut Nature",Cava,Recaredo,4.2,4
"Oscar Tobia Reserva Rioja","Rioja Red",Tobia,4.2,1
"Rioja Satinela Blanco Semidulce","Rioja White","Marques de Caceres",4.2,1
"Clos del Portal Negre de Negres","Priorat Red","Portal del Priorat",4.2,4
Solideo,"Ribera Del Duero Red","Dehesa de Los Canonigos",4.2,1
Preludio,"Ribera Del Duero Red","Sei Solo",4.2,9
"Reserva Tempranillo","Rioja Red","Diez Caballero",4.2,1
"Coma Vella Priorat","Priorat Red","Mas d'en Gil",4.2,1
"Las Ocho (8) Tinto",Red,"Chozas Carrascal",4.2,1
"Pago de los Balagueses Syrah",Syrah,Vegalfaro,4.2,1
"Bagus Ribera del Duero","Ribera Del Duero Red","Lopez Cristobal",4.2,1
"Formiga de Vellut","Priorat Red","Clos Galena",4.2,1
"Tierra Alta En 2 Maderas","Ribera Del Duero Red","Bodegas Valduero",4.2,1
"Propiedad  Rioja","Rioja Red","Palacios Remondo",4.2,1
"Reserva Especial Icon Edition","Rioja Red","Bodegas Faustino",4.2,1
"Vina Lanciano Reserva","Rioja Red",Lan,4.2,1
"La Felisa","Ribera Del Duero Red","Emilio Moro",4.2,1
Milmanda,Chardonnay,"Familia Torres",4.2,1
"Envidiacochina (Tete de Cuvee)",Albarino,"Adega Familiar Eladio Pineiro",4.2,1
Adaro,"Ribera Del Duero Red",Pradorey,4.2,1
"Monastrell - Syrah Finca Espolla",Red,"Castillo Perelada",4.2,1
"Santa Rosa",Red,"Enrique Mendoza",4.2,1
"Roc Nu",Red,"Clos Pons",4.2,1
"Rias Baixas Albarino Finca Valinas",Albarino,"Mar de Frades",4.2,1
"Les Brugueres","Priorat Red","Conreria d'Scala Dei",4.2,1
