wine_id,region_id,price
1,1,995.0
2,2,313.5
3,3,324.95
4,3,692.96
5,3,778.06
6,3,490.0
7,3,349.0
8,3,810.89
9,3,345.0
10,3,315.0
11,3,514.85
12,3,105.15
13,3,430.0
14,3,925.0
15,4,350.0
16,3,166.18
17,3,1620.0
18,3,431.36
19,5,195.627379550654
20,3,824.43
21,6,253.0
22,3,570.51
23,3,1280.0
24,4,244.85
25,3,719.34
26,3,815.0
27,4,285.86
28,7,1410.26
29,3,813.96
30,3,435.75
31,1,369.05
32,3,1182.77
33,4,227.95
34,3,999.0
35,3,360.0
36,1,1190.0
37,3,1150.0
38,1,950.0
39,7,1021.21
40,8,544.5
41,1,1295.0
42,7,992.2
43,1,1289.44
44,9,1098.9
45,8,215.34
46,7,1094.9
47,3,423.5
48,3,239.5
49,3,175.5
50,3,194.0
51,3,381.15
52,3,584.43
53,3,555.2
54,3,445.28
55,3,189.0
56,3,362.25
57,3,289.0
58,3,325.0
59,3,107.57
60,3,234.0
61,3,500.94
62,3,698.9
63,3,872.47
64,3,877.85
65,3,827.94
66,3,113.18
67,3,679.72
68,3,787.59
69,3,480.06
70,3,75.1
71,5,154.9
72,5,145.0
73,3,290.0
74,8,795.0
75,5,371.78009750522
76,5,134.19
77,8,82.58
78,3,873.86
79,3,774.4
80,3,84.95
81,3,940.0
82,3,812.63
83,3,116.54
84,3,1500.0
85,3,1190.0
86,5,154.85
87,1,135.0
88,1,63.75
89,3,827.94
90,10,66.07
91,8,213.9
92,8,234.9
93,3,2087.25
94,8,89.9
95,3,1384.54
96,3,820.98
97,3,1250.0
98,3,1500.0
99,3,1715.18
100,3,932.3
101,7,1372.14
102,1,78.9
103,3,660.96
104,3,154.0
105,3,134.89
106,7,1422.96
107,1,207.11
108,3,340.49
109,3,317.63
110,11,108.9
111,3,700.0
112,4,185.0
113,3,911.43
114,8,1150.0
115,3,698.95
116,1,2814.16
117,1,1325.0
118,8,527.26
119,3,1071.45
120,7,299.0
121,12,43.13
122,3,1207.6
123,8,175.0
124,7,1252.35
125,5,145.9
126,7,447.95
127,3,813.96
128,7,1410.26
129,7,182.9
130,13,99.0
131,3,1113.2
132,7,654.31
133,3,134.26
134,14,380.0
135,8,292.09
136,14,400.85
137,7,202.01
138,4,250.0
139,8,88.9
140,8,77.9
141,4,191.61
142,1,123.89
143,4,114.28
144,15,95.57
145,11,93.95
146,3,248.0
147,2,397.0
148,16,194.86
149,13,65.05
150,10,86.9
151,3,472.5
152,17,379.0
153,3,185.15
154,3,94.2
155,18,46.0
156,7,919.6
157,19,81.9
158,8,680.0
159,3,218.0
160,3,177.0
161,3,187.3
162,3,195.59
163,3,135.0
164,3,225.2
165,3,79.8
166,3,116.187943627787
167,3,89.3
168,8,438.9
169,3,79.9
170,3,249.0
171,3,129.95
172,3,76.95
173,3,252.0
174,3,232.0
175,1,214.0
176,1,205.0
177,3,49.95
178,3,125.0
179,3,276.8
180,3,75.0
181,3,1359.75
182,3,81.5
183,3,890.0
184,1,43.5
185,3,99.0
186,3,1198.72
187,10,94.95
188,10,89.0
189,3,1785.96
190,8,108.21
191,2,391.5
192,3,1350.0
193,8,145.0
194,8,173.38
195,8,220.0
196,8,85.7
197,3,2884.04
198,8,79.9
199,3,68.7
200,3,1638.95
201,7,150.0
202,3,48.95
203,3,109.41
204,3,119.0
205,3,195.0
206,3,1595.0
207,2,519.55
208,3,89.0
209,2,511.9
210,7,980.0
211,5,73.0
212,2,280.0
213,3,932.3
214,8,251.99
215,1,61.69
216,7,1372.14
217,1,210.5
218,3,285.0
219,3,245.75
220,3,228.57
221,8,319.9
222,2,325.0
223,7,345.0
224,10,58.9
225,8,159.0
226,20,69.9
227,3,895.4
228,1,147.85
229,10,88.05
230,7,1080.0
231,8,301.0
232,2,275.0
233,3,1106.24
234,3,64.9
235,3,1503.0
236,7,1372.14
237,2,241.55
238,7,89.17
239,3,769.9
240,3,67.94
241,3,44.0
242,2,445.0
243,7,87.02
244,3,747.17
245,1,49.95
246,10,50.51
247,3,157.4
248,11,120.9
249,3,1746.94
250,3,75.3
251,3,47.5
252,3,359.9
253,3,43.5
254,8,136.0
255,7,117.239420060872
256,3,135.0
257,8,82.5
258,8,149.9
259,1,1260.0
260,3,59.0
261,3,82.5
262,8,195.0
263,3,195.0
264,3,54.5
265,3,79.1
266,7,272.0
267,17,99.0
268,6,189.99
269,3,317.63
270,8,399.6
271,4,701.05
272,13,74.9
273,7,654.31
274,3,247.75
275,4,144.99
276,7,945.0
277,3,50.0
278,8,126.64
279,21,162.38
280,8,81.0
281,7,2750.0
282,8,121.0
283,7,355.95
284,13,164.66
285,11,120.9
286,3,218.9
287,3,65.95
288,7,86.0
289,22,34.5
290,23,282.65
291,7,259.9
292,3,1099.28
293,24,35.0
294,9,269.95
295,25,27.2693427
296,3,1250.0
297,8,52.95
298,8,114.95
299,6,89.9
300,3,195.0
301,26,29.35
302,8,79.9
303,3,53.95
304,22,26.2
305,7,270.44
306,2,187.5
307,8,210.0
308,3,85.63
309,2,304.54
310,7,34.3
311,7,993.28
312,8,85.95
313,27,12.0
314,3,249.9
315,3,1238.43
316,8,128.0
317,9,135.5
318,28,40.5
319,12,43.1
320,7,85.0
321,8,123.0
322,3,106.35
323,4,207.0
324,2,75.95
325,3,185.3
326,7,205.95
327,3,40.45
328,2,176.89
329,12,79.9
330,8,79.0
331,29,195.27
332,30,58.9
333,7,1660.0
334,3,111.9
335,26,29.95
336,20,129.9
337,8,69.95
338,7,299.0
339,9,3119.08
340,11,99.95
341,31,41.69
342,23,374.35
343,3,46.45
344,7,2750.0
345,7,42.5
346,3,95.0
347,6,197.3
348,32,130.0
349,4,181.5
350,3,29.8
351,3,73.0
352,3,56.27
353,1,69.0
354,3,45.0
355,3,75.0
356,1,69.8
357,3,121.936825872994
358,3,78.65
359,8,400.0
360,8,125.0
361,8,229.0
362,1,40.41
363,3,101.94
364,3,172.5
365,5,33.2
366,3,125.0
367,3,125.0
368,3,125.0
369,5,31.75
370,5,39.5
371,3,64.0
372,3,33.8
373,8,58.95
374,3,33.25
375,5,61.8491765262698
376,11,44.27
377,3,45.9
378,3,239.2
379,8,68.9
380,3,164.0
381,33,32.85
382,3,40.95
383,3,69.5803235920536
384,3,110.0
385,8,49.75
386,8,51.0
387,8,59.9
388,8,290.7
389,33,37.7
390,7,146.95
391,34,68.9
392,8,70.5
393,8,64.0
394,1,168.0
395,3,173.95
396,7,65.0
397,8,67.6
398,3,53.95
399,3,42.95
400,8,127.23
401,5,47.3
402,8,169.4
403,8,121.838963251908
404,8,34.8
405,3,55.35
406,3,75.95
407,3,48.7
408,8,118.89
409,7,92.8716274104906
410,3,290.4
411,3,31.8
412,8,149.5
413,3,35.85
414,3,82.95
415,3,59.0
416,5,37.7
417,8,42.75
418,8,175.57
419,7,61.64
420,5,30.7
421,10,56.5
422,1,207.11
423,8,110.5
424,3,55.95
425,8,170.0
426,30,107.9
427,3,69.9
428,1,49.5
429,30,176.98
430,8,90.0
431,7,65.0
432,8,95.0
433,3,39.0
434,3,193.0
435,8,174.91
436,3,312.0
437,3,52.9
438,3,40.9
439,35,157.95
440,3,77.5
441,3,116.0
442,7,75.0
443,3,80.98
444,8,64.5
445,3,118.5
446,7,64.0
447,7,95.0
448,8,125.97
449,3,26.5
450,3,54.01
451,3,104.9
452,36,170.5
453,3,315.0
454,37,34.9
455,3,51.5
456,38,112.26
457,10,71.85
458,33,38.9
459,1,54.09
460,8,67.9
461,8,80.95
462,4,114.5
463,8,50.34
464,3,57.96
465,8,73.62
466,10,144.78
467,13,90.0
468,8,89.95
469,3,92.8
470,21,48.9
471,3,70.55
472,13,110.0
473,7,139.3
474,3,59.8
475,8,75.0
476,3,57.0
477,2,253.47
478,22,49.95
479,3,298.0
480,10,73.6
481,7,58.0
482,3,54.0
483,3,78.38
484,3,228.63
485,23,228.9
486,7,81.3
487,3,165.0
488,3,54.9
489,16,55.0
490,7,131.85
491,3,148.39
492,3,39.0
493,8,67.1
494,3,199.45
495,3,52.0
496,8,34.9
497,3,75.81
498,8,84.36
499,3,47.95
500,8,391.65
501,5,32.5
502,8,198.0
503,13,40.33
504,7,302.5
505,1,62.0
506,27,49.1
507,8,75.0
508,20,200.13
509,4,113.0
510,23,68.4059721390231
511,39,37.5
512,2,165.0
513,8,415.0
514,3,74.0
515,40,192.16
516,29,59.82
517,23,164.9
518,38,94.9
519,38,199.0
520,8,85.95
521,36,125.05
522,3,85.55
523,8,317.75
524,3,35.0
525,18,274.95
526,7,82.55
527,7,63.9
528,3,29.95
529,3,312.6
530,7,58.95
531,2,99.35
532,3,49.5
533,7,234.98
534,7,78.5
535,8,56.95
536,8,40.0
537,3,100.0
538,7,79.9
539,3,63.5
540,18,38.9
541,3,154.5
542,7,374.66
543,2,143.51
544,3,59.95
545,8,467.65
546,8,65.5
547,8,88.5
548,14,25.92
549,8,95.0
550,3,559.02
551,7,115.85
552,3,976.83
553,7,266.81
554,41,26.9
555,3,89.66
556,3,64.3
557,8,190.0
558,21,141.2
559,3,32.0
560,8,61.0
561,8,140.0
562,4,169.95
563,3,49.9
564,20,65.9
565,1,25.9
566,2,58.19
567,3,295.0
568,8,35.5
569,13,53.7
570,33,9.9
571,3,40.8333333333333
572,3,299.286840932831
573,42,43.6838985
574,7,1372.14
575,7,79.55
576,7,57.0
577,37,14.96
578,3,60.06
579,3,237.0
580,7,993.28
581,3,71.9
582,8,270.0
583,8,48.5
584,23,200.0
585,8,107.5
586,1,77.5
587,9,32.9
588,32,93.51
589,6,96.38
590,12,75.0
591,3,44.95
592,8,75.0
593,3,143.38
594,3,195.0
595,41,20.15
596,9,1373.66
597,6,320.0
598,3,157.0
599,4,295.0
600,11,29.95
601,8,187.91
602,7,113.2
603,9,120.0
604,17,89.9
605,8,59.25
606,10,89.0
607,3,71.3
608,33,34.5
609,3,195.0
610,30,160.81
611,40,38.75
612,7,75.04
613,14,230.0
614,2,40.0
615,7,225.0
616,8,69.0
617,8,55.14
618,3,90.0
619,28,56.5
620,43,54.9
621,29,132.95
622,13,142.0
623,19,53.25
624,41,16.9
625,33,13.45
626,44,29.5
627,8,29.9168517
628,7,69.0
629,7,73.0
630,35,51.5
631,37,38.0
632,3,189.0
633,1,39.5
634,1,89.9
635,1,76.8
636,8,47.5
637,3,31.5
638,8,47.95
639,8,47.95
640,3,38.61
641,8,27.9
642,3,37.25
643,3,37.8
644,8,61.55
645,8,43.95
646,10,31.95
647,30,25.5
648,5,35.65
649,3,125.0
650,3,125.0
651,8,23.0
652,8,43.5
653,8,24.7
654,3,27.4
655,3,96.0
656,8,37.52
657,8,43.95
658,45,19.6
659,8,160.0
660,8,43.5
661,3,27.75
662,3,32.5
663,10,29.45
664,3,51.526827174062
665,8,216.0
666,3,119.7
667,8,66.73
668,8,39.95
669,1,32.01
670,3,28.9
671,1,36.0
672,8,105.12
673,13,52.5
674,3,33.31
675,8,73.65
676,11,33.95
677,8,74.0
678,3,169.0
679,45,24.8
680,3,140.840866321332
681,7,175.5
682,8,37.57
683,3,26.24
684,3,28.5
685,10,178.0
686,3,78.65
687,3,125.0
688,8,35.9
689,3,35.7
690,3,33.0
691,10,60.95
692,5,21.95
693,14,82.5
694,3,109.9
695,8,33.5
696,11,38.95
697,19,34.9
698,8,37.8
699,38,59.9
700,1,38.7
701,7,90.0
702,7,69.79
703,8,59.9
704,45,27.39
705,8,93.0
706,3,73.57
707,8,49.67
708,30,91.57
709,7,90.0
710,8,69.95
711,3,190.0
712,8,140.0
713,10,35.75
714,7,52.5
715,7,95.0
716,3,45.15
717,8,58.2142247461506
718,8,42.7
719,3,28.7315367295517
720,7,32.65
721,8,43.86
722,8,36.9
723,8,54.83
724,8,55.33
725,8,26.9
726,46,57.9
727,3,74.0
728,3,34.35
729,3,76.3
730,3,45.3
731,3,299.0
732,10,56.5
733,3,54.9
734,1,55.31
735,3,53.91
736,8,35.1
737,1,38.5
738,8,49.97
739,3,32.9
740,31,34.0
741,2,90.5
742,23,38.3
743,3,41.32
744,1,98.0
745,16,55.71
746,3,35.2
747,8,73.6
748,3,41.0
749,11,31.5
750,3,56.75
751,1,20.9
752,8,30.73
753,3,49.9
754,8,52.0
755,8,90.0
