nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion,año
Santiago Ruiz,Santiago Ruiz,Rías Baixas (España),Albariño/ Loureiro/ Caiño blanco/ Treixadura/ Godello,14.9,No descuento,4,4.4,8,Vino blanco,2022
Prima,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro/ Garnacha,12.0,No descuento,38,4.3,30,Vino tinto,2020
Emilio Moro,Emilio Moro,Ribera del Duero (España),Tempranillo,20.9,No descuento,74,4.4,45,Vino tinto,2020
Aria Brut N,Heredad Segura Viudas,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,7.4,No descuento,9,4.7,10,Cava,
El Coto Crianza,El Coto de Rioja,Rioja (España),Tempranillo,7.0,No descuento,97,4.6,144,Vino tinto,2019
Carles Andreu Gran Reserva Brut Nature,Celler Carles Andreu,DO Cava (España),Parellada/ Chardonnay/ Macabeo/ Xarel·lo,12.9,No descuento,6,4.5,8,Cava,2019
Fagus de Coto de Hayas Selección Especial,Bodegas Aragonesas,Campo de Borja (España),Garnacha,21.0,No descuento,17,4.8,11,Vino tinto,2020
Peique Godello sobre Lías,Bodegas Peique,Bierzo (España),Godello,9.0,No descuento,10,4.5,4,Vino blanco,2022
Viña Real Crianza,Viña Real,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,8.4,No descuento,52,4.1,53,Vino tinto,2019
Peique Ramón Valle,Bodegas Peique,Bierzo (España),Mencía,8.4,No descuento,17,4.0,31,Vino tinto,2018
Terras de Cigarrón,Adegas Galegas,Monterrei (España),Godello,9.0,No descuento,12,4.8,4,Vino blanco,2022
Casa Castillo Monastrell,Casa Castillo,Jumilla (España),Monastrell,9.0,No descuento,58,4.1,41,Vino tinto,2021
Venta Las Vacas,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,19.6,No descuento,90,4.6,38,Vino tinto,2021
Viña Pomal Crianza,Bodegas Bilbaínas,Rioja (España),Tempranillo,9.0,No descuento,27,3.8,13,Vino tinto,2020
Montecastro,Bodegas y Viñedos Montecastro,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,20.5,No descuento,13,4.3,11,Vino tinto,2020
Avan Oak,Bodegas y Viñedos Juan Manuel Burgos,Ribera del Duero (España),Tempranillo,6.7,No descuento,16,4.6,9,Vino tinto,2022
Hacienda Monasterio,Bodegas Hacienda Monasterio,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot/ Malbec,40.5,No descuento,81,4.7,37,Vino tinto,2020
Gorka Izagirre Txacoli Blanco,Gorka Izagirre,Bizkaiko Txakolina (España),Hondarribi zuri/ Hondarribi zerratia,10.0,No descuento,11,4.6,5,Vino blanco,2022
Protos 27,Bodegas Protos,Ribera del Duero (España),Tempranillo,27.9,No descuento,55,4.5,31,Vino tinto,2020
César Márquez Valtuille Vino de Villa,César Márquez,Bierzo (España),Mencía/ Alicante bouschet,19.9,No descuento,18,0.0,0,Vino tinto,2020
Castillo de Monte la Reina Cuvée Privée,Bodegas Monte La Reina,Toro (España),Tempranillo,20.8,No descuento,3,4.3,3,Vino tinto,2019
El Puntido,Viñedos de Páganos,Rioja (España),Tempranillo,38.5,No disponible,23,4.7,19,Vino tinto,2020
Vallegarcía Viognier,Pago de Vallegarcía,Castilla (España),Viognier,24.5,No descuento,7,4.3,10,Vino blanco,2020
Vizcarra Senda del Oro,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,10.4,No descuento,20,4.2,31,Vino tinto,2021
Mestres Visol,Mestres,DO Cava (España),Xarel·lo/ Macabeo/ Parellada,21.8,No descuento,13,5.0,2,Cava,2016
Predicat,Celler Grifoll Declara,Priorat (España),Garnacha/ Cariñena/ Merlot,12.0,No descuento,42,4.6,23,Vino tinto,2018
Gramona Imperial,Gramona,Corpinnat (España),Xarel·lo/ Macabeo/ Chardonnay/ Parellada,23.2,No descuento,61,4.7,37,Cava,2017
Casa Castillo La Tendida,Casa Castillo,Jumilla (España),Monastrell/ Garnacha,13.9,No descuento,23,4.0,1,Vino tinto,2021
Palacio de Bornos Verdejo,Palacio de Bornos,Rueda (España),Verdejo,6.4,No descuento,13,4.5,22,Vino blanco,2022
Habla La Tierra,Bodegas Habla,Extremadura (España),Tempranillo/ Cabernet sauvignon,8.0,No descuento,9,3.9,17,Vino tinto,2021
Luzón Sin Sulfitos,Bodegas Luzón,Jumilla (España),Monastrell,6.0,No descuento,9,5.0,4,Vino tinto,2022
Coto de Imaz Reserva,El Coto de Rioja,Rioja (España),Tempranillo,10.5,No descuento,106,4.4,98,Vino tinto,2019
Vallegarcía Syrah,Pago de Vallegarcía,Vallegarcía (España),Syrah,24.5,No descuento,12,4.5,4,Vino tinto,2021
Marieta,Bodegas Martín Códax,Rías Baixas (España),Albariño,10.9,No descuento,36,4.4,56,Vino blanco,2022
Las Gravas,Casa Castillo,Jumilla (España),Monastrell/ Garnacha,44.5,No descuento,36,3.9,15,Vino tinto,2021
Frontonio Microcósmico Macabeo,Bodegas Frontonio,Valdejalón (España),Macabeo,14.2,No descuento,22,3.0,6,Vino blanco,2022
Tobelos Crianza,Tobelos Bodegas y Viñedos,Rioja (España),Tempranillo,11.3,No descuento,4,4.0,3,Vino tinto,2019
Viña Real Reserva,Viña Real,Rioja (España),Tempranillo/ Graciano/ Garnacha/ Mazuelo,14.9,No descuento,129,4.2,40,Vino tinto,2017
Nekeas Cepa por Cepa Garnacha,Bodegas Nekeas,Navarra (España),Garnacha,6.1,No descuento,22,4.6,9,Vino tinto,2022
Dehesa de los Canónigos Quinta Generación,Dehesa de los Canónigos,Ribera del Duero (España),Tempranillo,12.0,No descuento,4,3.3,7,Vino tinto,2021
Circe Verdejo,Bodegas Avelino Vegas,Rueda (España),Verdejo,10.0,No descuento,24,4.6,16,Vino blanco,2022
Rafael Cambra Soplo,Bodega Rafael Cambra,Valencia (España),Garnacha,6.0,No descuento,54,4.0,46,Vino tinto,2021
Petit Almodí Negre,Altavins,Terra Alta (España),Garnacha/ Cariñena/ Syrah,5.7,No descuento,24,4.6,10,Vino tinto,2022
Lapola,Dominio do Bibei,Ribeira Sacra (España),Doña blanca/ Godello,23.0,No descuento,12,4.1,8,Vino blanco,2020
Hacienda Solano Viñas Viejas,Hacienda Solano,Ribera del Duero (España),Tempranillo,26.9,No descuento,45,4.4,21,Vino tinto,2020
La Planta,Bodegas Arzuaga Navarro,Ribera del Duero (España),Tempranillo,9.3,No descuento,62,4.4,75,Vino tinto,2022
Izadi Larrosa Negra,Bodegas Izadi,Rioja (España),Garnacha,9.0,No descuento,41,4.6,9,Vino tinto,2020
La Celestina Vendimia Seleccionada,Atalayas de Golbán,Ribera del Duero (España),Tempranillo,14.5,No descuento,24,4.5,6,Vino tinto,2019
4 Kilos,4 Kilos Vinícola,Mallorca (España),Callet,36.0,No descuento,89,4.1,33,Vino tinto,2021
Pere Ventura Tresor Brut,Caves Pere Ventura,DO Cava (España),Trepat,18.0,No descuento,4,4.0,3,Cava,
Las Moradas de San Martín Albillo Real,Viñedos de San Martín,Vinos de Madrid (España),Albillo,13.2,No descuento,19,4.7,7,Vino blanco,2021
Godina,Bodegas Morca,Campo de Borja (España),Garnacha,19.9,No descuento,4,5.0,5,Vino tinto,2020
Castro Ventosa Valtuille Cepas Centenarias,Bodegas y Viñedos Castro Ventosa,Bierzo (España),Mencía,41.5,No descuento,23,4.2,9,Vino tinto,2020
Les Brugueres Blanc,La Conreria de Scala Dei,Priorat (España),Garnacha blanca,19.6,No descuento,23,4.6,13,Vino blanco,2022
Les Alcusses,Celler del Roure,Valencia (España),Monastrell/ Syrah/ Merlot/ Cabernet sauvignon/ Tempranillo,10.5,No descuento,11,4.1,31,Vino tinto,2019
Madremía,Bodegas Divina Proporción,Toro (España),Tinta de Toro,11.0,No descuento,21,4.2,26,Vino tinto,2020
Lafou El Sender,Lafou Celler ,Terra Alta (España),Garnacha/ Syrah/ Morenillo,11.8,No descuento,14,4.3,9,Vino tinto,2020
D'Iatra Gratallops Vi de Vila,Cal Batllet,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Merlot/ Syrah,18.4,No descuento,11,4.6,8,Vino tinto,2017
La Sonrisa de Tares,Dominio de Tares,Bierzo (España),Godello,12.0,No descuento,20,4.7,7,Vino blanco,2022
Dominio de Atauta Llanos del Almendro,Dominio de Atauta,Ribera del Duero (España),Tempranillo,99.4,No descuento,7,4.5,2,Vino tinto,2016
Mestres Coquet Gran Reserva Brut Nature,Mestres,DO Cava (España),Xarel·lo/ Macabeo/ Parellada,17.2,No descuento,11,4.5,13,Cava,2018
Pita Verderrubí Verdejo Ecológico,Viñedos Verderrubí,Rueda (España),Verdejo,8.4,No descuento,3,4.5,2,Vino blanco,2022
Villa Conchi Brut,Villa Conchi,DO Cava (España),Trepat,9.5,No descuento,4,3.6,5,Cava,
Edulis Crianza,Bodegas Altanza,Rioja (España),Tempranillo,7.6,No descuento,30,4.4,19,Vino tinto,2019
Familia Valdelana Blanco Semidulce,Bodegas Valdelana,Rioja (España),Malvasía/ Viura,6.9,No descuento,4,4.9,8,Vino semidulce,2022
Pago Florentino,Bodegas Arzuaga Navarro,Pago Florentino (España),Cencibel,12.9,No descuento,20,4.5,8,Vino tinto,2020
Agnvs Tempranillo,Bodegas Valdelana,Rioja (España),Tempranillo/ Graciano,9.0,No descuento,5,4.0,1,Vino tinto,2021
Ramón Bilbao Verdejo,Bodegas Ramón Bilbao,Rueda (España),Verdejo,7.5,No descuento,9,4.2,18,Vino blanco,2022
Formiga de Vellut,Domini de la Cartoixa,Priorat (España),Garnacha/ Cariñena/ Syrah,17.8,No descuento,20,4.5,13,Vino tinto,2020
Fábregas Puro Syrah,Bodegas Fábregas,Somontano (España),Syrah,12.0,No descuento,2,0.0,0,Vino tinto,2020
Borsao Tinto Selección,Bodegas Borsao,Campo de Borja (España),Garnacha/ Syrah/ Tempranillo,5.0,No descuento,18,4.1,24,Vino tinto,2021
Campillo Gran Reserva,Bodegas Campillo,Rioja (España),Tempranillo/ Graciano,27.9,No descuento,3,4.0,3,Vino tinto,2014
Valtravieso Crianza,Bodegas y Viñedos Valtravieso,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot,16.5,No descuento,29,4.5,12,Vino tinto,2020
Huguet Reserva Brut Nature,Can Feixes,Corpinnat (España),Parellada/ Macabeo/ Pinot noir,14.9,No descuento,13,4.2,4,Cava,2016
Finca San Martín,Torre de Oña,Rioja (España),Tempranillo,9.6,No descuento,24,4.0,16,Vino tinto,2019
Grillo,El Grillo y la Luna,Somontano (España),Syrah/ Cabernet sauvignon/ Garnacha/ Merlot,38.0,No descuento,8,4.3,3,Vino tinto,2014
San Román,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro,32.1,No descuento,67,4.6,32,Vino tinto,2020
Hacienda López de Haro Reserva,Hacienda López de Haro,Rioja (España),Tempranillo/ Graciano,11.4,No descuento,35,4.2,54,Vino tinto,2017
Monte Toro 3 Añada Selección,Bodegas Ramón Ramos,Toro (España),Tinta de Toro,5.0,No descuento,8,4.2,8,Vino tinto,2022
Abracadabra Toro,Bodegas Divina Proporción,Toro (España),Tinta de Toro,12.5,No descuento,10,4.5,2,Vino tinto,2021
Envidia Cochina,Adega Familiar Eladio Piñeiro,Rías Baixas (España),Albariño,25.0,No descuento,16,5.0,4,Vino blanco,2021
Garum,Bodegas Luis Pérez,Cádiz (España),Merlot/ Syrah/ Petit verdot/ Tintilla de Rota,12.8,No descuento,20,4.2,18,Vino tinto,2021
Remírez de Ganuza Reserva,Bodegas Fernando Remírez de Ganuza,Rioja (España),Tempranillo/ Graciano,64.0,No descuento,17,4.5,4,Vino tinto,2015
Marqués de Vargas Reserva,Marqués de Vargas,Rioja (España),Tempranillo/ Mazuelo/ Garnacha,27.9,No descuento,6,4.3,3,Vino tinto,2018
Gago,Compañía de Vinos de Telmo Rodríguez,Toro (España),Tinta de Toro,19.6,No descuento,34,3.9,9,Vino tinto,2019
La Fuente de Nekeas Crianza,Bodegas Nekeas,Navarra (España),Cabernet sauvignon/ Tempranillo,7.2,No descuento,1,4.4,5,Vino tinto,2019
Lindes de Remelluri Viñedos de Labastida,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano,17.0,No descuento,225,4.4,118,Vino tinto,2020
Dido Blanc,"Venus ""La Universal""",Montsant (España),Macabeo/ Garnacha blanca/ Xarel·lo,20.4,No descuento,29,4.3,7,Vino blanco,2021
Finca Dofí,Álvaro Palacios,Priorat (España),Garnacha/ Cariñena/ Garnacha blanca/ Macabeo,94.9,No descuento,24,4.7,6,Vino tinto,2020
De Muller Vino de Mi,De Muller,Terra Alta (España),Garnacha blanca/ Macabeo,8.3,No descuento,12,4.7,21,Vino dulce natural,
Artuke Tinto,"Artuke, Bodegas y Viñedos",Rioja (España),Tempranillo/ Viura,7.6,No descuento,21,3.9,18,Vino tinto,2022
